company,page,clusters,rmse
Barclays,16,100,0.7427917342507686
Barclays,17,2,0.7778595851131046
Barclays,17,5,0.801615400785522
Barclays,17,8,0.753631076416684
Barclays,17,12,0.7610730865905295
Barclays,17,15,0.7402715794925301
Barclays,17,18,0.8730724055822168
Barclays,17,22,0.8353234863172967
Barclays,17,25,0.8351059143689746
Barclays,17,29,0.8595931055907331
Barclays,17,32,0.7572467191433586
Barclays,17,35,0.761130941285033
Barclays,17,39,0.7305315782301703
Barclays,17,42,0.7756655975204994
Barclays,17,45,0.8429165855276965
Barclays,17,49,0.820829704863127
Barclays,17,52,0.7902699848037004
Barclays,17,56,0.7195305353118132
Barclays,17,59,0.8281405435154069
Barclays,17,62,0.7498746646586868
Barclays,17,66,0.7720742611679725
Barclays,17,69,0.8067219575461664
Barclays,17,72,0.821902645878114
Barclays,17,76,0.7619958291943032
Barclays,17,79,0.7545138736492467
Barclays,17,83,0.7613845269054563
Barclays,17,86,0.733851029942906
Barclays,17,89,0.7630674823772507
Barclays,17,93,0.7575360269660771
Barclays,17,96,0.7091789607762952
Barclays,17,100,0.7803835091616843
Barclays,18,2,0.7148408026474833
Barclays,18,5,0.7111360124447752
Barclays,18,8,0.8990361410441202
Barclays,18,12,0.7105485582073885
Barclays,18,15,0.7969721931723873
Barclays,18,18,0.773122678722417
Barclays,18,22,0.7682254393483987
Barclays,18,25,0.8312490824150942
Barclays,18,29,0.7653380570061254
Barclays,18,32,0.8746624591857641
Barclays,18,35,0.7993850644587619
Barclays,18,39,0.7678602365618095
Barclays,18,42,0.7850472397431061
Barclays,18,45,0.7427808366892706
Barclays,18,49,0.745382717165015
Barclays,18,52,0.7735737201114279
Barclays,18,56,0.7893949560716612
Barclays,18,59,0.7486522217668266
Barclays,18,62,0.7840985470941547
Barclays,18,66,0.7066639218705463
Barclays,18,69,0.7822206527373505
Barclays,18,72,0.7709414103863402
Barclays,18,76,0.7481484260711997
Barclays,18,79,0.7363812641570682
Barclays,18,83,0.7517558832174772
Barclays,18,86,0.751757985351905
Barclays,18,89,0.7829232238929328
Barclays,18,93,0.7770671628317476
Barclays,18,96,0.7407582337094284
Barclays,18,100,0.8163534136331552
Barclays,19,2,0.7644312203982476
Barclays,19,5,0.8133023932644917
Barclays,19,8,0.755294270594208
Barclays,19,12,0.8001755513753814
Barclays,19,15,0.8635236883947205
Barclays,19,18,0.7357528256737995
Barclays,19,22,0.8169329701119488
Barclays,19,25,0.7536917845105766
Barclays,19,29,0.787494878946923
Barclays,19,32,0.7651251707266217
Barclays,19,35,0.7390866347224785
Barclays,19,39,0.769659155337647
Barclays,19,42,0.7242756874710132
Barclays,19,45,0.7487211129726444
Barclays,19,49,0.7753378199237064
Barclays,19,52,0.766080856885262
Barclays,19,56,0.7210795017309017
Barclays,19,59,0.767600174726517
Barclays,19,62,0.7553100504917254
Barclays,19,66,0.78263209203724
Barclays,19,69,0.7650797375681269
Barclays,19,72,0.7774078227393558
Barclays,19,76,0.7078771156660945
Barclays,19,79,0.7319928708624258
Barclays,19,83,0.7380731355157388
Barclays,19,86,0.863784036409675
Barclays,19,89,0.7614118180891851
Barclays,19,93,0.765387797112548
Barclays,19,96,0.7534831723651177
Barclays,19,100,0.7422066448201282
Barclays,20,2,0.7466730276102461
Barclays,20,5,0.7178046111784564
Barclays,20,8,0.7323213892321305
Barclays,20,12,0.7438112785369075
Barclays,20,15,0.649359989141473
Barclays,20,18,0.6967571813070955
Barclays,20,22,0.7810628558379323
Barclays,20,25,0.751031466959653
Barclays,20,29,0.7677257057966228
Barclays,20,32,0.7881721891311109
Barclays,20,35,0.7786442104354699
Barclays,20,39,0.7455139978367498
Barclays,20,42,0.7069226365626368
Barclays,20,45,0.7349156414232665
Barclays,20,49,0.7251802519332966
Barclays,20,52,0.7020770589017221
Barclays,20,56,0.7829095572724607
Barclays,20,59,0.7294906161363304
Barclays,20,62,0.7258736934088816
Barclays,20,66,0.800462244417612
Barclays,20,69,0.7389245511339254
Barclays,20,72,0.7360013068890611
Barclays,20,76,0.7219312060136273
Barclays,20,79,0.7288433490225897
Barclays,20,83,0.7504559249084768
Barclays,20,86,0.6938291946000422
Barclays,20,89,0.6926596097694027
Barclays,20,93,0.7190434756663279
Barclays,20,96,0.7172463158480528
Barclays,20,100,0.7035613524967562
Barclays,21,2,0.7760820561926973
Barclays,21,5,0.8708132187545446
Barclays,21,8,0.8155207775251091
Barclays,21,12,0.8324811941439048
Barclays,21,15,0.8291397517887179
Barclays,21,18,0.817013390783314
Barclays,21,22,0.8598792301076391
Barclays,21,25,0.7801311835322192
Barclays,21,29,0.8159038515458062
Barclays,21,32,0.8639077496044327
Barclays,21,35,0.7621388963533486
Barclays,21,39,0.8140085703835406
Barclays,21,42,0.7623458514633287
Barclays,21,45,0.8475537907342408
Barclays,21,49,0.7567401941369679
Barclays,21,52,0.8405502662135009
Barclays,21,56,0.8179735716336042
Barclays,21,59,0.8132482439147829
Barclays,21,62,0.7442383493810848
Barclays,21,66,0.7489214762222728
Barclays,21,69,0.7706739294017468
Barclays,21,72,0.7942800846578495
Barclays,21,76,0.7897263672866683
Barclays,21,79,0.8217398611100766
Barclays,21,83,0.7533673170563353
Barclays,21,86,0.8202610463856469
Barclays,21,89,0.825545402236408
Barclays,21,93,0.7851841447011835
Barclays,21,96,0.7961266136600773
Barclays,21,100,0.7942844622440759
Barclays,22,2,0.7062143806319755
Barclays,22,5,0.8076927348419694
Barclays,22,8,0.8859644769796942
Barclays,22,12,0.7830247389385584
Barclays,22,15,0.8387248437353418
Barclays,22,18,0.8352888877645409
Barclays,22,22,0.8487858635785239
Barclays,22,25,0.896568373129094
Barclays,22,29,0.769757207642772
Barclays,22,32,0.7692448287563027
Barclays,22,35,0.8439786981432659
Barclays,22,39,0.8248585409516233
Barclays,22,42,0.8679595187476206
Barclays,22,45,0.8050018181689264
Barclays,22,49,0.7978246465789958
Barclays,22,52,0.7786784026441469
Barclays,22,56,0.7296853271395124
Barclays,22,59,0.8473714376281669
Barclays,22,62,0.79217819338023
Barclays,22,66,0.7742312629250236
Barclays,22,69,0.7974247096740801
Barclays,22,72,0.8443357981713956
Barclays,22,76,0.736342689178448
Barclays,22,79,0.7750055161962366
Barclays,22,83,0.7363230102378596
Barclays,22,86,0.8230752672892362
Barclays,22,89,0.9000834879498794
Barclays,22,93,0.776843923439725
Barclays,22,96,0.7820176609622869
Barclays,22,100,0.7858760886344517
Barclays,23,2,0.7122569843793883
Barclays,23,5,0.7923873452445855
Barclays,23,8,0.7263316942885129
Barclays,23,12,0.7439721819584812
Barclays,23,15,0.8447258391703173
Barclays,23,18,0.7396809771471978
Barclays,23,22,0.743418898748216
Barclays,23,25,0.7242300313462959
Barclays,23,29,0.7513007835286062
Barclays,23,32,0.727581822717226
Barclays,23,35,0.7544494728228406
Barclays,23,39,0.7468070316777775
Barclays,23,42,0.8133689044385651
Barclays,23,45,0.8041441651563217
Barclays,23,49,0.7642696931164924
Barclays,23,52,0.722781639995528
Barclays,23,56,0.7408599357307435
Barclays,23,59,0.712394188718204
Barclays,23,62,0.7372527978091291
Barclays,23,66,0.7165994818191511
Barclays,23,69,0.7764130382056785
Barclays,23,72,0.7616529938886417
Barclays,23,76,0.7837054295594804
Barclays,23,79,0.7640775221968477
Barclays,23,83,0.7393849062193959
Barclays,23,86,0.7800266297560731
Barclays,23,89,0.7480662691368106
Barclays,23,93,0.7576849287068986
Barclays,23,96,0.7706255184872375
