--- Iteration 0 ---
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                     aten::resolve_conj         0.03%       1.264us         0.03%       1.264us       1.264us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             1  
                                      aten::resolve_neg         0.02%       0.596us         0.02%       0.596us       0.596us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             1  
void at::native::(anonymous namespace)::CatArrayBatc...         0.00%       0.000us         0.00%       0.000us       0.000us       3.008us         5.85%       3.008us       3.008us           0 B           0 B           0 B           0 B             1  
                       Memcpy DtoH (Device -> Pageable)         0.00%       0.000us         0.00%       0.000us       0.000us      22.944us        44.59%      22.944us      22.944us           0 B           0 B           0 B           0 B             1  
                                               [memory]         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us    -285.99 KB    -285.99 KB    -387.00 KB    -387.00 KB             5  
                       Memcpy HtoD (Pageable -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us       5.663us        11.01%       5.663us       5.663us           0 B           0 B           0 B           0 B             1  
                         volta_sgemm_32x32_sliced1x4_tn         0.00%       0.000us         0.00%       0.000us       0.000us       6.591us        12.81%       6.591us       6.591us           0 B           0 B           0 B           0 B             1  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       1.601us         3.11%       1.601us       1.601us           0 B           0 B           0 B           0 B             1  
void (anonymous namespace)::softmax_warp_forward<flo...         0.00%       0.000us         0.00%       0.000us       0.000us       2.688us         5.22%       2.688us       2.688us           0 B           0 B           0 B           0 B             1  
                                  volta_sgemm_128x32_nn         0.00%       0.000us         0.00%       0.000us       0.000us       8.960us        17.41%       8.960us       8.960us           0 B           0 B           0 B           0 B             1  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 3.933ms
Self CUDA time total: 51.455us


--- Iteration 2 ---
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                     PythonDispatchMode        29.56%     712.076us        92.04%       2.217ms     201.534us       0.000us         0.00%      60.032us       5.457us     314.00 KB           8 B     682.50 KB           0 B            11  
                                Activity Buffer Request        24.38%     587.240us        24.38%     587.240us     587.240us       3.488us         6.17%       3.488us       3.488us           0 B           0 B           0 B           0 B             1  
                                       cudaLaunchKernel        17.33%     417.364us        17.33%     417.364us      83.473us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             5  
                                        cudaMemcpyAsync         6.91%     166.433us         6.91%     166.433us      83.216us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             2  
                                               aten::mm         4.82%     116.121us        18.03%     434.395us     108.599us      18.304us        32.37%      36.608us       9.152us           0 B           0 B     425.00 KB     212.50 KB             4  
                                         aten::_softmax         2.50%      60.224us         6.23%     150.101us      75.050us       2.080us         3.68%       4.160us       2.080us           0 B           0 B     111.00 KB      55.50 KB             2  
                                              aten::cat         2.02%      48.550us        85.11%       2.050ms       1.025ms       3.488us         6.17%      13.952us       6.976us           0 B           0 B     628.00 KB     314.00 KB             2  
                                         aten::_to_copy         1.65%      39.801us        28.19%     679.000us     169.750us       0.000us         0.00%      61.632us      15.408us     628.00 KB           0 B      90.00 KB           0 B             4  
                                              aten::div         1.38%      33.227us         5.94%     142.993us      71.497us       1.856us         3.28%       3.712us       1.856us          -8 B          -8 B     111.00 KB      55.50 KB             2  
                                            aten::copy_         1.14%      27.433us         8.79%     211.717us     105.858us      30.816us        54.50%      30.816us      15.408us           0 B           0 B           0 B           0 B             2  
                                    aten::empty_strided         1.06%      25.515us         1.06%      25.515us      12.757us       0.000us         0.00%       0.000us       0.000us     314.00 KB     314.00 KB      45.00 KB      45.00 KB             2  
                                            aten::split         0.95%      22.837us         7.33%     176.449us      88.225us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             2  
                                            aten::slice         0.76%      18.297us         0.93%      22.454us      11.227us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             2  
                                  cudaStreamSynchronize         0.74%      17.851us         0.74%      17.851us       8.925us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             2  
                                               aten::to         0.57%      13.790us        17.67%     425.706us     141.902us       0.000us         0.00%      30.816us      10.272us     314.00 KB           0 B      45.00 KB           0 B             3  
                                           aten::narrow         0.50%      11.992us         1.43%      34.446us      17.223us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             2  
                                  cudaDeviceSynchronize         0.46%      11.162us         0.46%      11.162us       5.581us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             2  
                                          aten::permute         0.44%      10.632us         2.56%      61.743us      30.872us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             2  
                                            aten::chunk         0.42%      10.158us         5.82%     140.183us     140.183us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             1  
          cudaOccupancyMaxActiveBlocksPerMultiprocessor         0.38%       9.193us         0.38%       9.193us       4.597us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             2  
                                       aten::lift_fresh         0.35%       8.412us         4.41%     106.158us      53.079us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             2  
                                           aten::matmul         0.31%       7.513us        12.79%     308.178us     154.089us       0.000us         0.00%      18.304us       9.152us           0 B           0 B     212.50 KB           0 B             2  
                                          aten::numpy_T         0.26%       6.227us         2.63%      63.454us      63.454us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             1  
                                           aten::detach         0.23%       5.637us         2.37%      57.188us      19.063us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             3  
                                                 detach         0.23%       5.562us         2.14%      51.551us      25.775us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             2  
                                       aten::as_strided         0.22%       5.195us         0.22%       5.195us       1.732us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             3  
                                          aten::softmax         0.18%       4.318us         5.16%     124.227us     124.227us       0.000us         0.00%       2.080us       2.080us           0 B           0 B      55.50 KB           0 B             1  
                                          aten::detach_         0.11%       2.595us         0.18%       4.366us       4.366us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             1  
                                                detach_         0.07%       1.771us         0.07%       1.771us       1.771us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             1  
                                     aten::resolve_conj         0.04%       1.053us         0.04%       1.053us       1.053us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             1  
                                      aten::resolve_neg         0.02%       0.533us         0.02%       0.533us       0.533us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             1  
void at::native::(anonymous namespace)::CatArrayBatc...         0.00%       0.000us         0.00%       0.000us       0.000us       3.488us         6.17%       3.488us       3.488us           0 B           0 B           0 B           0 B             1  
                       Memcpy DtoH (Device -> Pageable)         0.00%       0.000us         0.00%       0.000us       0.000us      25.120us        44.43%      25.120us      25.120us           0 B           0 B           0 B           0 B             1  
                                               [memory]         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us    -313.99 KB    -313.99 KB    -425.00 KB    -425.00 KB             5  
