--- Iteration 0 ---
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                       aten::as_strided         0.20%       3.923us         0.20%       3.923us       3.923us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             1  
                                                 detach         0.19%       3.809us         0.19%       3.809us       3.809us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             1  
                                           aten::detach         0.09%       1.887us         0.28%       5.696us       5.696us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             1  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       2.368us         7.38%       2.368us       2.368us           0 B           0 B           0 B           0 B             1  
void at::native::triu_tril_kernel<float, int, true, ...         0.00%       0.000us         0.00%       0.000us       0.000us       3.999us        12.46%       3.999us       3.999us           0 B           0 B           0 B           0 B             1  
                                               [memory]         0.00%       0.000us         0.00%       0.000us       0.000us       0.000us         0.00%       0.000us       0.000us           8 B           8 B      -1.14 MB      -1.14 MB             4  
                         volta_sgemm_64x32_sliced1x4_tn         0.00%       0.000us         0.00%       0.000us       0.000us       8.512us        26.52%       8.512us       8.512us           0 B           0 B           0 B           0 B             1  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       1.856us         5.78%       1.856us       1.856us           0 B           0 B           0 B           0 B             1  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       1.888us         5.88%       1.888us       1.888us           0 B           0 B           0 B           0 B             1  
void (anonymous namespace)::softmax_warp_forward<flo...         0.00%       0.000us         0.00%       0.000us       0.000us       4.256us        13.26%       4.256us       4.256us           0 B           0 B           0 B           0 B             1  
                         volta_sgemm_64x32_sliced1x4_nn         0.00%       0.000us         0.00%       0.000us       0.000us       6.880us        21.44%       6.880us       6.880us           0 B           0 B           0 B           0 B             1  
void cublasLt::splitKreduce_kernel<32, 16, int, floa...         0.00%       0.000us         0.00%       0.000us       0.000us       2.336us         7.28%       2.336us       2.336us           0 B           0 B           0 B           0 B             1  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 2.007ms
Self CUDA time total: 32.095us


--- Iteration 5 ---
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                Activity Buffer Request        49.76%       1.459ms        49.76%       1.459ms       1.459ms       1.952us         6.26%       1.952us       1.952us           0 B           0 B           0 B           0 B             1  
                                       cudaLaunchKernel        19.16%     561.953us        19.16%     561.953us      70.244us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             8  
                                     PythonDispatchMode        16.67%     488.952us        94.75%       2.779ms     347.381us       0.000us         0.00%      33.120us       4.140us           0 B           8 B       2.38 MB           0 B             8  
                                               aten::mm         3.53%     103.462us        14.22%     417.010us     104.253us      17.440us        55.95%      34.880us       8.720us           0 B           0 B       1.05 MB     536.50 KB             4  
                                         aten::_softmax         2.37%      69.533us         5.31%     155.629us      77.814us       4.224us        13.55%       8.448us       4.224us           0 B           0 B     761.00 KB     380.50 KB             2  
                                             aten::full         1.69%      49.535us       141.23%       4.142ms       2.071ms       0.000us         0.00%       7.808us       3.904us           0 B           0 B     761.00 KB           0 B             2  
