-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                            copy_info_kernel(int, int*)         0.00%       0.000us         0.00%       0.000us       0.000us      23.584us         0.09%      23.584us       1.179us           0 B           0 B           0 B           0 B            20  
                                        Memset (Device)         0.00%       0.000us         0.00%       0.000us       0.000us      19.840us         0.08%      19.840us       0.992us           0 B           0 B           0 B           0 B            20  
void geqr2_smem_domino_fast<float, float, 8, 512>(in...         0.00%       0.000us         0.00%       0.000us       0.000us       3.072ms        11.73%       3.072ms     614.363us           0 B           0 B           0 B           0 B             5  
void batch_eye_kernel<float, 5, 3>(long, long, float...         0.00%       0.000us         0.00%       0.000us       0.000us      24.032us         0.09%      24.032us       1.602us           0 B           0 B           0 B           0 B            15  
void ormtr_gemv_c<float, 4>(long, long, float const*...         0.00%       0.000us         0.00%       0.000us       0.000us       3.054ms        11.66%       3.054ms       5.964us           0 B           0 B           0 B           0 B           512  
void ormtr_gerc<float, 5, 3, 1>(int, float const*, l...         0.00%       0.000us         0.00%       0.000us       0.000us       2.294ms         8.76%       2.294ms       4.481us           0 B           0 B           0 B           0 B           512  
void reset_lowerA_kernel<float, 256>(long, float con...         0.00%       0.000us         0.00%       0.000us       0.000us       8.448us         0.03%       8.448us       1.690us           0 B           0 B           0 B           0 B             5  
void batch_FnrmA_stage1<float, float, 8>(long, long,...         0.00%       0.000us         0.00%       0.000us       0.000us      18.207us         0.07%      18.207us       3.641us           0 B           0 B           0 B           0 B             5  
void batch_FnrmA_stage2<float, 8>(long, float*, long...         0.00%       0.000us         0.00%       0.000us       0.000us      15.808us         0.06%      15.808us       3.162us           0 B           0 B           0 B           0 B             5  
                       Memcpy DtoH (Device -> Pageable)         0.00%       0.000us         0.00%       0.000us       0.000us      79.708us         0.30%      79.708us       1.449us           0 B           0 B           0 B           0 B            55  
void lascl_kernel<float, float, 8>(long, long, float...         0.00%       0.000us         0.00%       0.000us       0.000us      10.304us         0.04%      10.304us       2.061us           0 B           0 B           0 B           0 B             5  
void syevj_parallel_order_set_kernel<512>(long, int*...         0.00%       0.000us         0.00%       0.000us       0.000us      70.847us         0.27%      70.847us       7.085us           0 B           0 B           0 B           0 B            10  
void offA_stage1<float, float, 5, 3>(long, long, flo...         0.00%       0.000us         0.00%       0.000us       0.000us      94.841us         0.36%      94.841us       2.371us           0 B           0 B           0 B           0 B            40  
            void offA_stage2<float, 5, 3>(long, float*)         0.00%       0.000us         0.00%       0.000us       0.000us      61.699us         0.24%      61.699us       1.542us           0 B           0 B           0 B           0 B            40  
void gesvdbj_batch_32x16<float, float>(long, int con...         0.00%       0.000us         0.00%       0.000us       0.000us      11.813ms        45.10%      11.813ms      39.246us           0 B           0 B           0 B           0 B           301  
void svd_column_rotate_batch<float, 5, 3>(long, int ...         0.00%       0.000us         0.00%       0.000us       0.000us       2.966ms        11.32%       2.966ms       4.926us           0 B           0 B           0 B           0 B           602  
void svd_row_rotate_batch_32x16<float>(long, int con...         0.00%       0.000us         0.00%       0.000us       0.000us       1.819ms         6.94%       1.819ms       6.042us           0 B           0 B           0 B           0 B           301  
void gesvdj_diagonal_kernel<float, float, 256>(long,...         0.00%       0.000us         0.00%       0.000us       0.000us       8.096us         0.03%       8.096us       1.619us           0 B           0 B           0 B           0 B             5  
void svd_col_scale_kernel<float, 256>(long, long, fl...         0.00%       0.000us         0.00%       0.000us       0.000us       8.768us         0.03%       8.768us       1.754us           0 B           0 B           0 B           0 B             5  
                void pegasus_set_identy<128>(int, int*)         0.00%       0.000us         0.00%       0.000us       0.000us       6.593us         0.03%       6.593us       1.319us           0 B           0 B           0 B           0 B             5  
void pegasus_sortsign_by_key_local_core<float, 256, ...         0.00%       0.000us         0.00%       0.000us       0.000us      12.799us         0.05%      12.799us       2.560us           0 B           0 B           0 B           0 B             5  
void pegasusIinclusive_localscan_core<256, 4>(int, i...         0.00%       0.000us         0.00%       0.000us       0.000us      11.553us         0.04%      11.553us       2.311us           0 B           0 B           0 B           0 B             5  
void pegasusIinclusive_scan_domino_v1_core<256, 4>(i...         0.00%       0.000us         0.00%       0.000us       0.000us      13.313us         0.05%      13.313us       2.663us           0 B           0 B           0 B           0 B             5  
void pegasusIinclusive_scan_merge_core<256, 4>(int, ...         0.00%       0.000us         0.00%       0.000us       0.000us       8.512us         0.03%       8.512us       1.702us           0 B           0 B           0 B           0 B             5  
void pegasus_sortsign_by_key_merge_core<float, 256, ...         0.00%       0.000us         0.00%       0.000us       0.000us       8.737us         0.03%       8.737us       1.747us           0 B           0 B           0 B           0 B             5  
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us      36.832us         0.14%      36.832us       1.473us           0 B           0 B           0 B           0 B            25  
void pegasus_sortI32_by_oneCTA<256, false>(int, int,...         0.00%       0.000us         0.00%       0.000us       0.000us      60.128us         0.23%      60.128us      12.026us           0 B           0 B           0 B           0 B             5  
void colperm_kernel<float, float, 5, 4>(long, long, ...         0.00%       0.000us         0.00%       0.000us       0.000us      26.272us         0.10%      26.272us       2.627us           0 B           0 B           0 B           0 B            10  
void scal_kernel_val<float, float>(cublasScalParamsV...         0.00%       0.000us         0.00%       0.000us       0.000us       8.448us         0.03%       8.448us       1.690us           0 B           0 B           0 B           0 B             5  
                         volta_sgemm_32x32_sliced1x4_nn         0.00%       0.000us         0.00%       0.000us       0.000us      83.648us         0.32%      83.648us       7.604us           0 B           0 B           0 B           0 B            11  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us      14.689us         0.06%      14.689us       2.938us           0 B           0 B           0 B           0 B             5  
                         Memcpy DtoH (Device -> Pinned)         0.00%       0.000us         0.00%       0.000us       0.000us       7.904us         0.03%       7.904us       1.581us           0 B           0 B           0 B           0 B             5  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      15.582us         0.06%      15.582us       1.731us           0 B           0 B           0 B           0 B             9  
                         volta_sgemm_32x32_sliced1x4_nt         0.00%       0.000us         0.00%       0.000us       0.000us      44.480us         0.17%      44.480us       8.896us           0 B           0 B           0 B           0 B             5  
                                  volta_sgemm_128x32_nn         0.00%       0.000us         0.00%       0.000us       0.000us      91.870us         0.35%      91.870us       8.352us           0 B           0 B           0 B           0 B            11  
void at::native::triu_tril_kernel<float, int, true, ...         0.00%       0.000us         0.00%       0.000us       0.000us      17.792us         0.07%      17.792us       4.448us           0 B           0 B           0 B           0 B             4  
                         volta_sgemm_32x32_sliced1x4_tn         0.00%       0.000us         0.00%       0.000us       0.000us      69.472us         0.27%      69.472us      11.579us           0 B           0 B           0 B           0 B             6  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      11.040us         0.04%      11.040us       2.760us           0 B           0 B           0 B           0 B             4  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      10.976us         0.04%      10.976us       2.744us           0 B           0 B           0 B           0 B             4  
void (anonymous namespace)::softmax_warp_forward<flo...         0.00%       0.000us         0.00%       0.000us       0.000us      29.536us         0.11%      29.536us       7.384us           0 B           0 B           0 B           0 B             4  
void cublasLt::splitKreduce_kernel<32, 16, int, floa...         0.00%       0.000us         0.00%       0.000us       0.000us      37.630us         0.14%      37.630us       3.421us           0 B           0 B           0 B           0 B            11  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 132.455ms
Self CUDA time total: 26.196ms
