-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                    Hokus Pokus prefill         0.46%      36.415ms        69.17%        5.445s        5.445s       0.000us         0.00%       15.589s       15.589s     207.22 MB           0 B     374.29 MB      -7.12 GB             1  
                                       aten::linalg_svd         0.00%     126.178us        66.43%        5.229s     163.410ms       0.000us         0.00%       15.012s     469.112ms           0 B           0 B     216.50 MB           0 B            32  
                                      aten::_linalg_svd         3.93%     309.254ms        66.42%        5.229s     163.406ms        4.112s        76.98%       15.012s     469.112ms           0 B      -4.00 KB     216.50 MB      63.48 MB            32  
                                           Buffer Flush         0.09%       6.912ms         0.09%       6.949ms     119.817us        6.675s       124.96%        6.675s     115.078ms           8 B           8 B     -49.50 KB     -49.50 KB            58  
                                    Hokus Pokus prefill         0.00%       0.000us         0.00%       0.000us       0.000us        5.484s       102.67%        5.484s        5.484s           0 B           0 B           0 B           0 B             1  
                                Activity Buffer Request         0.85%      67.273ms         0.85%      67.273ms       1.246ms        4.224s        79.07%        4.224s      78.217ms           0 B           0 B           0 B           0 B            54  
                                       cudaLaunchKernel        26.55%        2.090s        27.13%        2.136s       3.758us       0.000us         0.00%        1.921s       3.380us           0 B           0 B           0 B           0 B        568329  
void gesvdbj_batch_32x16<float, float>(long, int con...         0.00%       0.000us         0.00%       0.000us       0.000us        1.900s        35.56%        1.900s      38.071us           0 B           0 B           0 B           0 B         49896  
                                           aten::matmul         0.96%      75.461ms         5.38%     423.823ms      48.282us       0.000us         0.00%     955.369ms     108.837us           0 B           0 B       1.57 GB           0 B          8778  
                                           aten::linear         0.34%      26.850ms         4.31%     339.040ms      50.295us       0.000us         0.00%     941.359ms     139.647us           0 B           0 B       2.00 GB           0 B          6741  
                                               aten::mm         1.25%      98.170ms         1.75%     137.428ms      29.085us     909.668ms        17.03%     909.668ms     192.522us           0 B           0 B     936.54 MB     936.54 MB          4725  
void ormtr_gemv_c<float, 4>(long, long, float const*...         0.00%       0.000us         0.00%       0.000us       0.000us     577.347ms        10.81%     577.347ms       4.405us           0 B           0 B           0 B           0 B        131072  
void magma_sgemmEx_kernel<float, __nv_bfloat16, __nv...         0.00%       0.000us         0.00%       0.000us       0.000us     488.386ms         9.14%     488.386ms       1.690ms           0 B           0 B           0 B           0 B           289  
void ormtr_gerc<float, 5, 3, 1>(int, float const*, l...         0.00%       0.000us         0.00%       0.000us       0.000us     450.209ms         8.43%     450.209ms       3.435us           0 B           0 B           0 B           0 B        131072  
void geqr2_smem_domino_fast<float, float, 8, 512>(in...         0.00%       0.000us         0.00%       0.000us       0.000us     445.571ms         8.34%     445.571ms     435.128us           0 B           0 B           0 B           0 B          1024  
void gemv2T_kernel_val<int, int, __nv_bfloat16, __nv...         0.00%       0.000us         0.00%       0.000us       0.000us     402.392ms         7.53%     402.392ms     124.966us           0 B           0 B           0 B           0 B          3220  
void svd_column_rotate_batch<float, 5, 3>(long, int ...         0.00%       0.000us         0.00%       0.000us       0.000us     386.464ms         7.24%     386.464ms       3.873us           0 B           0 B           0 B           0 B         99792  
void svd_row_rotate_batch_32x16<float>(long, int con...         0.00%       0.000us         0.00%       0.000us       0.000us     227.243ms         4.25%     227.243ms       4.554us           0 B           0 B           0 B           0 B         49896  
                                            aten::copy_         1.40%     110.342ms         3.89%     306.599ms      12.204us     102.415ms         1.92%     102.415ms       4.077us           0 B           0 B           0 B           0 B         25122  
                                               aten::to         0.31%      24.043ms         5.09%     400.925ms      16.428us       0.000us         0.00%      95.064ms       3.895us     222.44 MB           0 B       7.60 GB           0 B         24405  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 7.872s
Self CUDA time total: 5.342s
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                    Hokus Pokus prefill         0.55%      43.983ms        68.40%        5.475s        5.475s       0.000us         0.00%       15.972s       15.972s     207.22 MB           0 B     374.29 MB      -7.12 GB             1  
                                       aten::linalg_svd         0.00%     127.872us        65.22%        5.221s     163.146ms       0.000us         0.00%       15.386s     480.811ms           0 B           0 B     216.50 MB           0 B            32  
                                      aten::_linalg_svd         3.88%     310.372ms        65.22%        5.221s     163.142ms        4.106s        76.84%       15.386s     480.811ms           0 B      -4.00 KB     216.50 MB      63.48 MB            32  
                                           Buffer Flush         0.09%       6.937ms         0.09%       7.004ms     120.756us        6.664s       124.71%        6.664s     114.894ms           0 B           0 B       9.91 MB      20.50 KB            58  
                                    Hokus Pokus prefill         0.00%       0.000us         0.00%       0.000us       0.000us        5.512s       103.15%        5.512s        5.512s           0 B           0 B           0 B           0 B             1  
                                Activity Buffer Request         1.03%      82.771ms         1.03%      82.771ms       1.533ms        4.615s        86.37%        4.615s      85.464ms           0 B           0 B           0 B           0 B            54  
                                       cudaLaunchKernel        26.29%        2.104s        26.88%        2.151s       3.789us       0.000us         0.00%        2.301s       4.053us           0 B           0 B           0 B           0 B        567729  
void gesvdbj_batch_32x16<float, float>(long, int con...         0.00%       0.000us         0.00%       0.000us       0.000us        1.895s        35.47%        1.895s      38.093us           0 B           0 B           0 B           0 B         49756  
                                           aten::matmul         1.11%      89.069ms         5.62%     449.541ms      51.212us       0.000us         0.00%     955.355ms     108.835us           0 B           0 B       1.57 GB           0 B          8778  
                                           aten::linear         0.35%      27.643ms         4.34%     347.667ms      51.575us       0.000us         0.00%     941.220ms     139.626us           0 B           0 B       2.00 GB           0 B          6741  
                                               aten::mm         1.23%      98.665ms         1.72%     137.498ms      29.100us     909.601ms        17.02%     909.601ms     192.508us           0 B           0 B     936.54 MB     936.54 MB          4725  
void ormtr_gemv_c<float, 4>(long, long, float const*...         0.00%       0.000us         0.00%       0.000us       0.000us     577.959ms        10.82%     577.959ms       4.409us           0 B           0 B           0 B           0 B        131072  
void magma_sgemmEx_kernel<float, __nv_bfloat16, __nv...         0.00%       0.000us         0.00%       0.000us       0.000us     488.357ms         9.14%     488.357ms       1.690ms           0 B           0 B           0 B           0 B           289  
void ormtr_gerc<float, 5, 3, 1>(int, float const*, l...         0.00%       0.000us         0.00%       0.000us       0.000us     448.734ms         8.40%     448.734ms       3.424us           0 B           0 B           0 B           0 B        131072  
void geqr2_smem_domino_fast<float, float, 8, 512>(in...         0.00%       0.000us         0.00%       0.000us       0.000us     446.269ms         8.35%     446.269ms     435.809us           0 B           0 B           0 B           0 B          1024  
void gemv2T_kernel_val<int, int, __nv_bfloat16, __nv...         0.00%       0.000us         0.00%       0.000us       0.000us     402.469ms         7.53%     402.469ms     124.990us           0 B           0 B           0 B           0 B          3220  
void svd_column_rotate_batch<float, 5, 3>(long, int ...         0.00%       0.000us         0.00%       0.000us       0.000us     385.217ms         7.21%     385.217ms       3.871us           0 B           0 B           0 B           0 B         99512  
                                        cudaMemcpyAsync        40.11%        3.211s        40.15%        3.213s     194.787us       0.000us         0.00%     257.151ms      15.588us           0 B           0 B           0 B           0 B         16497  
void svd_row_rotate_batch_32x16<float>(long, int con...         0.00%       0.000us         0.00%       0.000us       0.000us     226.750ms         4.24%     226.750ms       4.557us           0 B           0 B           0 B           0 B         49756  
                                            aten::copy_         1.39%     111.133ms         4.17%     333.704ms      13.283us     110.394ms         2.07%     110.432ms       4.396us           0 B           0 B           0 B           0 B         25122  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 8.004s
Self CUDA time total: 5.343s
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                    Hokus Pokus prefill         1.34%     111.197ms        68.99%        5.726s        5.726s       0.000us         0.00%       15.268s       15.268s     207.22 MB           0 B     374.29 MB      -7.12 GB             1  
