page,method,threshold,k,rel_mse
2,method_4,0.59,11,0.11305659264326096
2,method_4,0.6,11,0.11305659264326096
2,method_4,0.61,12,0.10741329938173294
2,method_4,0.62,12,0.10741329938173294
2,method_4,0.63,13,0.10093089193105698
2,method_4,0.64,13,0.10093089193105698
2,method_4,0.65,14,0.09623951464891434
2,method_4,0.66,15,0.09284771978855133
2,method_4,0.67,15,0.09284771978855133
2,method_4,0.6799999999999999,16,0.08392051607370377
2,method_4,0.69,17,0.0802987813949585
2,method_4,0.7,18,0.07443490624427795
2,method_4,0.71,19,0.072604238986969
2,method_4,0.72,19,0.072604238986969
2,method_4,0.73,20,0.07017873227596283
2,method_4,0.74,21,0.06601584702730179
2,method_4,0.75,22,0.06155311316251755
2,method_4,0.76,24,0.058149538934230804
2,method_4,0.77,25,0.05663594976067543
2,method_4,0.78,26,0.05467189848423004
2,method_4,0.79,27,0.05270940810441971
2,method_4,0.8,29,0.04992067068815231
2,method_4,0.81,30,0.04696747288107872
2,method_4,0.8200000000000001,32,0.04448438435792923
2,method_4,0.8300000000000001,34,0.04025723785161972
2,method_4,0.8400000000000001,35,0.03803803026676178
2,method_4,0.8500000000000001,37,0.036106888204813004
2,method_4,0.86,39,0.03130468353629112
2,method_4,0.87,42,0.02882557362318039
2,method_4,0.88,44,0.026895824819803238
2,method_4,0.89,46,0.023850131779909134
2,method_4,0.9,49,0.021659258753061295
2,method_4,0.91,52,0.01935661770403385
2,method_4,0.9199999999999999,56,0.016586381942033768
2,method_4,0.9299999999999999,59,0.013951355591416359
2,method_4,0.94,64,0.011277412995696068
2,method_4,0.95,69,0.009467900730669498
2,method_4,0.96,74,0.007478942628949881
2,method_4,0.97,81,0.005121690686792135
2,method_4,0.98,90,0.00342223490588367
2,method_4,0.99,103,0.001472694450058043
3,method_1,0.5,3,0.2339891791343689
3,method_1,0.51,4,0.23441718518733978
3,method_1,0.52,4,0.23441718518733978
3,method_1,0.53,4,0.23441718518733978
3,method_1,0.54,5,0.21723127365112305
3,method_1,0.55,5,0.21723127365112305
3,method_1,0.56,6,0.2077435404062271
3,method_1,0.5700000000000001,6,0.2077435404062271
3,method_1,0.58,6,0.2077435404062271
