company,page,k,rmse
CapitalOne,10,45,1.5427633752071712
CapitalOne,11,1,0.7019147220337766
CapitalOne,11,45,0.6329840017634408
CapitalOne,12,1,0.7018537937728745
CapitalOne,12,45,0.6701437979637581
CapitalOne,13,1,0.7013369142452304
CapitalOne,13,45,0.6810924034872444
CapitalOne,14,1,0.7560691260571223
CapitalOne,14,45,0.8331005500918348
CapitalOne,15,1,0.7536793452496237
CapitalOne,15,45,2.461524658954276
CapitalOne,16,1,0.7823736730091874
CapitalOne,16,45,3.5879348061867726
CapitalOne,17,1,0.7466010579338065
CapitalOne,17,45,1.1667705383366793
CapitalOne,18,1,0.7976496125472111
CapitalOne,18,45,1.0358478704711211
CapitalOne,19,1,0.7784029717478773
CapitalOne,19,45,0.8928846482966949
CapitalOne,20,1,0.7655013935161374
CapitalOne,20,45,2.7846837786530236
CapitalOne,21,1,0.7638492761968739
CapitalOne,21,45,0.800246202445869
CapitalOne,22,1,0.7807812044917717
CapitalOne,22,45,1.0735536297422905
CapitalOne,23,1,0.7584096460596268
CapitalOne,23,45,0.8969564435522104
CapitalOne,24,1,0.7672586163843276
CapitalOne,24,45,1.8812939899688856
CapitalOne,25,1,0.7495794472902443
CapitalOne,25,45,0.9266670947068733
CitiGroup,1,1,0.6882114681664848
CitiGroup,1,45,0.656813722347987
CitiGroup,2,1,0.7594389382422516
CitiGroup,2,45,0.9054610587976942
CitiGroup,3,1,0.7751499359761186
CitiGroup,3,45,0.8832433625508438
CitiGroup,4,1,0.7471275118463032
CitiGroup,4,45,0.8338999969519071
CitiGroup,5,1,0.7349488377656055
CitiGroup,5,45,0.7890149236298813
CitiGroup,6,1,0.743952083843872
CitiGroup,6,45,1.0607427484108263
CitiGroup,7,1,0.750053627315186
CitiGroup,7,45,0.8715621285855153
CitiGroup,8,1,0.7618721932294078
CitiGroup,8,45,0.8267280730279515
CitiGroup,9,1,0.7794602385560422
CitiGroup,9,45,1.6974384173988195
CitiGroup,10,1,0.761459413268793
CitiGroup,10,45,0.7512354029893876
CitiGroup,11,1,0.7658416135801172
CitiGroup,11,45,20.617985639448555
CitiGroup,12,1,0.7182155481218454
CitiGroup,12,45,1.1371440250308376
CitiGroup,13,1,0.7567171345425181
CitiGroup,13,45,0.8409298829971138
CitiGroup,14,1,0.7840491474480162
CitiGroup,14,45,0.8771907158132929
CitiGroup,15,1,0.753435709547316
CitiGroup,15,45,0.8218701524065659
CitiGroup,16,1,0.7619894074895353
CitiGroup,16,45,0.8431361949491123
CitiGroup,17,1,0.7477204417493889
CitiGroup,17,45,0.9305806904123773
CitiGroup,18,1,0.7532767936808158
CitiGroup,18,45,1.1290804803551198
CitiGroup,19,1,0.7988108983970782
CitiGroup,19,45,0.8948192224364736
CitiGroup,20,1,0.7741713273752283
CitiGroup,20,45,0.817243517955233
CitiGroup,21,1,0.7660625705576686
CitiGroup,21,45,0.8072769147718134
CitiGroup,22,1,0.773508225665862
CitiGroup,22,45,0.8608577186313381
CitiGroup,23,1,0.7817321013880725
CitiGroup,23,45,0.9294113046687682
CitiGroup,24,1,0.781440741847373
CitiGroup,24,45,1.5118350013574777
CitiGroup,25,1,0.7658750138567484
CitiGroup,25,45,0.8830615111723491
Cofinimmo,1,1,0.7527793638402931
Cofinimmo,1,45,0.8999678187388265
Cofinimmo,2,1,0.7476921657098601
Cofinimmo,2,45,1.0629336246137713
Cofinimmo,3,1,0.737979974871304
Cofinimmo,3,45,10.095440161674485
Cofinimmo,4,1,0.7492848286191585
Cofinimmo,4,45,0.8668316052892407
Cofinimmo,5,1,0.7946747845502325
Cofinimmo,5,45,0.8344759835741508
Cofinimmo,6,1,0.7448861389088944
Cofinimmo,6,45,0.823015721494375
Cofinimmo,7,1,0.7603281459943866
Cofinimmo,7,45,0.8355455831866994
Cofinimmo,8,1,0.7455620319217969
Cofinimmo,8,45,33.11745988571099
Cofinimmo,9,1,0.7487430987187038
Cofinimmo,9,45,0.8233120141751236
Cofinimmo,10,1,0.7658784101058353
Cofinimmo,10,45,0.8925474424153561
Cofinimmo,11,1,0.7816387550748193
Cofinimmo,11,45,0.9240255005738481
Cofinimmo,12,1,0.7643621931726221
Cofinimmo,12,45,0.8425583010856217
Cofinimmo,13,1,0.7786232682867958
Cofinimmo,13,45,11.200189093145474
Cofinimmo,14,1,0.7801186408350208
Cofinimmo,14,45,2.4242014263990597
Cofinimmo,15,1,0.6963336623599292
Cofinimmo,15,45,0.6525098174529261
Cofinimmo,16,1,0.7145708635361406
Cofinimmo,16,45,0.6817556746638243
Cofinimmo,17,1,0.8056716220910081
Cofinimmo,17,45,0.8391949118790345
Cofinimmo,18,1,0.7455390082491536
Cofinimmo,18,45,1.070539373863911
Cofinimmo,19,1,0.7441421003977136
Cofinimmo,19,45,0.8320937223556917
Cofinimmo,20,1,0.7153758252725306
Cofinimmo,20,45,0.7454958599081769
Cofinimmo,21,1,0.7663138568420865
Cofinimmo,21,45,0.8267744420994423
Cofinimmo,22,1,0.7474005586274411
Cofinimmo,22,45,1.9076956608367788
Cofinimmo,23,1,0.7491798544933228
Cofinimmo,23,45,0.8626624274871636
Cofinimmo,24,1,0.7474357430441395
Cofinimmo,24,45,0.929335337622376
Cofinimmo,25,1,0.7935492003556326
Cofinimmo,25,45,0.8047248839467558
CVS,1,1,0.6906074583472005
CVS,1,45,0.6519982467999267
CVS,2,1,0.7550469370532374
CVS,2,45,0.9438885942302118
CVS,3,1,0.740009851795965
CVS,3,45,0.8054296253353447
CVS,4,1,0.7344510658380662
CVS,4,45,1.1908406918107113
CVS,5,1,0.735380385291615
CVS,5,45,1.1487630313552153
CVS,6,1,0.7440151370650978
CVS,6,45,0.8651612927413512
CVS,7,1,0.7727340647159184
CVS,7,45,1.708723136156931
CVS,8,1,0.7405925787600228
CVS,8,45,0.781104977926549
CVS,9,1,0.7741314398398211
CVS,9,45,1.035507922029763
CVS,10,1,0.7467741425466313
CVS,10,45,0.8627158193144663
CVS,11,1,0.7557012873577199
CVS,11,45,0.8029665502905059
CVS,12,1,0.8100931926765935
CVS,12,45,0.7860384495060281
CVS,13,1,0.7260447107255328
CVS,13,45,1.4074367162650219
CVS,14,1,0.688854595828244
CVS,14,45,0.8078221867745717
CVS,15,1,0.7444042418197828
CVS,15,45,1.0298267951809557
CVS,16,1,0.7503133568102849
CVS,16,45,1.4870722227462467
CVS,17,1,0.7651811105281472
CVS,17,45,0.8901979289977812
CVS,18,1,0.7757653968737145
CVS,18,45,0.9264030806275674
CVS,19,1,0.7651259860124663
CVS,19,45,0.8563093183206534
CVS,20,1,0.7810608186696386
CVS,20,45,0.8896940197056242
CVS,21,1,0.7800665165904893
CVS,21,45,1.6214072697382973
CVS,22,1,0.7631545396488528
CVS,22,45,0.9672897609846333
CVS,23,1,0.7682530941546624
CVS,23,45,0.92635987935408
CVS,24,1,0.7929839724488142
