company,page,k,rmse
Barclays,6,81,0.8607205396986894
Barclays,6,83,0.8125000963912988
Barclays,6,85,0.7935782319618261
Barclays,6,87,0.9043754515614058
Barclays,6,89,0.8256523626687425
Barclays,6,91,0.9253361977264255
Barclays,6,93,0.9056044899526717
Barclays,6,95,0.8832630386375255
Barclays,6,97,0.9065949466402241
Barclays,6,99,0.8843872322712966
Barclays,6,101,0.8346099692291762
Barclays,6,103,0.8417127372680311
Barclays,6,105,0.8335330949765274
Barclays,6,107,1.066989521366246
Barclays,6,109,0.8620966288016383
Barclays,6,111,0.8031426664545217
Barclays,6,113,0.7883605176455759
Barclays,6,115,0.7784622967932779
Barclays,6,117,0.8084737446803255
Barclays,6,120,0.8247233563120422
Barclays,7,1,0.7802090314646237
Barclays,7,3,4.326587110144604
Barclays,7,5,5.145725299455588
Barclays,7,7,0.8984048231047856
Barclays,7,9,6.003636281318702
Barclays,7,11,0.8779487267624674
Barclays,7,13,0.896438135287376
Barclays,7,15,2.996604257094387
Barclays,7,17,0.9604490367102192
Barclays,7,19,0.9290097672473776
Barclays,7,21,0.7985622488461274
Barclays,7,23,2.9967776496230334
Barclays,7,25,0.8155920676454741
Barclays,7,27,0.8352225536646821
Barclays,7,29,13.899021140439936
Barclays,7,31,0.9497426744445507
Barclays,7,33,2.9600166706226205
Barclays,7,35,0.8631124110723591
Barclays,7,37,2.623143367179952
Barclays,7,39,0.8398774605499503
Barclays,7,41,0.7651655709913231
Barclays,7,43,0.7933730292385437
Barclays,7,45,0.9676934948033232
Barclays,7,47,0.7988755589917189
Barclays,7,49,0.7755809261856739
Barclays,7,51,0.7977036514105383
Barclays,7,53,0.8202626486689026
Barclays,7,55,1.8506646188836333
Barclays,7,57,0.7780208868706006
Barclays,7,59,5.269438782647871
Barclays,7,61,0.7635380409582799
Barclays,7,63,0.7750506653034739
Barclays,7,65,0.776773458500063
Barclays,7,67,0.7769326408082043
Barclays,7,69,0.7747990602758149
Barclays,7,71,0.7796473967584419
Barclays,7,73,0.7920709258070475
Barclays,7,75,1.0021176278270991
Barclays,7,77,1.9170274923352397
Barclays,7,79,0.768506118778365
Barclays,7,81,5.102040156282287
Barclays,7,83,0.9839733068825884
Barclays,7,85,0.8557623010976381
Barclays,7,87,0.8434946259182075
Barclays,7,89,3.7541913706854686
Barclays,7,91,0.838231448849487
Barclays,7,93,0.7647674751203766
Barclays,7,95,0.7656693815974888
Barclays,7,97,0.7636978787437909
Barclays,7,99,0.7966809894869125
Barclays,7,101,0.8832476011527873
Barclays,7,103,0.7913315592414751
Barclays,7,105,0.8920225014407581
Barclays,7,107,1.0975686676722187
Barclays,7,109,0.8051405845699164
Barclays,7,111,0.7860182424184657
Barclays,7,113,0.769407015150054
Barclays,7,115,0.776219154092412
Barclays,7,117,0.7766903950627496
Barclays,7,120,0.8629986913086513
Barclays,8,1,0.7629248236829523
Barclays,8,3,0.7895211695950656
Barclays,8,5,0.8284378338101042
Barclays,8,7,0.8816835726563195
Barclays,8,9,1.1103848775220981
Barclays,8,11,0.836825408825404
Barclays,8,13,0.8780246917554616
Barclays,8,15,0.8719794003724343
Barclays,8,17,0.8764524064236336
Barclays,8,19,1.7954154594599856
Barclays,8,21,1.7329491512878985
Barclays,8,23,0.8683450373867283
Barclays,8,25,1.0832522884667362
Barclays,8,27,1.9611330756626384
Barclays,8,29,0.7844066767518102
Barclays,8,31,0.9007016629951259
Barclays,8,33,1.1970410733756252
Barclays,8,35,0.8812747152604017
Barclays,8,37,0.8517162810721889
Barclays,8,39,0.7897557459009007
Barclays,8,41,0.7742910268276489
Barclays,8,43,2.3148588437069324
Barclays,8,45,0.8526177394992109
Barclays,8,47,0.8662483709071725
Barclays,8,49,1.1551612442322
Barclays,8,51,0.794165192920793
Barclays,8,53,0.8139449964536509
Barclays,8,55,1.015464941728169
Barclays,8,57,0.7681682484927987
Barclays,8,59,595.8431056771635
Barclays,8,61,0.9336001976704456
Barclays,8,63,0.7662328965797044
Barclays,8,65,1.9534483917928969
Barclays,8,67,0.7622910747506945
Barclays,8,69,0.771837728049113
Barclays,8,71,0.7795849672496059
Barclays,8,73,0.7715303180388419
Barclays,8,75,0.7571924882320231
Barclays,8,77,0.7463400829625755
Barclays,8,79,0.8041364677357425
Barclays,8,81,1.05069100108441
Barclays,8,83,18.891276587183917
Barclays,8,85,0.7393097808009141
Barclays,8,87,0.722056330612735
Barclays,8,89,0.7998025187084714
Barclays,8,91,0.7515014866035309
Barclays,8,93,0.959655454745016
Barclays,8,95,0.765541613954002
Barclays,8,97,0.8461431501237846
Barclays,8,99,0.7582579762703453
Barclays,8,101,0.7581932473408558
Barclays,8,103,0.7996920785396007
Barclays,8,105,0.7375172121163868
Barclays,8,107,0.7509747175845779
Barclays,8,109,0.7776646798099589
Barclays,8,111,0.8006482182674728
Barclays,8,113,0.972156497958813
Barclays,8,115,1.0050332743447903
Barclays,8,117,0.7574435082311024
Barclays,8,120,0.8160170134579903
Barclays,9,1,0.785277615698327
Barclays,9,3,1.0524530826787353
Barclays,9,5,0.8674304962593057
Barclays,9,7,0.8431237899842519
Barclays,9,9,1.0257656833104671
Barclays,9,11,1.7504638886682617
Barclays,9,13,2.7451369908573575
Barclays,9,15,1.054487232207938
Barclays,9,17,1.3611412596279997
Barclays,9,19,0.8802740221452561
Barclays,9,21,0.8180655650264895
Barclays,9,23,15.998959473015681
Barclays,9,25,2.6656569146572657
Barclays,9,27,1.7811309322354782
Barclays,9,29,4.482599642421408
Barclays,9,31,1.0421566028888671
Barclays,9,33,2.042857699008272
Barclays,9,35,0.7899839634383327
Barclays,9,37,0.8446388077166447
Barclays,9,39,0.8256359301726581
Barclays,9,41,0.8199583426418814
Barclays,9,43,1.0465520090659426
Barclays,9,45,45.27788821280152
Barclays,9,47,0.852087057377719
Barclays,9,49,0.7847489922543447
Barclays,9,51,0.8106150938043484
Barclays,9,53,0.8537868288645788
Barclays,9,55,0.8019857831030232
Barclays,9,57,0.7920982597792277
Barclays,9,59,0.9167685002927818
Barclays,9,61,0.8788114416963053
Barclays,9,63,0.8523498586166353
Barclays,9,65,0.7845586319327174
Barclays,9,67,2.2296275293619368
Barclays,9,69,0.9075930243732261
Barclays,9,71,0.783660407234756
Barclays,9,73,0.9336705061366495
