k,mean,std,min,max
152,2.90248949183143,11.25188970304589,0.6212681405310794,160.64521883254318
155,2.90248949183143,11.25188970304589,0.6212681405310794,160.64521883254318
158,2.90248949183143,11.25188970304589,0.6212681405310794,160.64521883254318
161,2.90248949183143,11.25188970304589,0.6212681405310794,160.64521883254318
164,2.90248949183143,11.25188970304589,0.6212681405310794,160.64521883254318
167,2.90248949183143,11.25188970304589,0.6212681405310794,160.64521883254318
170,2.90248949183143,11.25188970304589,0.6212681405310794,160.64521883254318
173,2.90248949183143,11.25188970304589,0.6212681405310794,160.64521883254318
176,2.90248949183143,11.25188970304589,0.6212681405310794,160.64521883254318
179,2.90248949183143,11.25188970304589,0.6212681405310794,160.64521883254318
182,2.90248949183143,11.25188970304589,0.6212681405310794,160.64521883254318
185,2.90248949183143,11.25188970304589,0.6212681405310794,160.64521883254318
188,2.90248949183143,11.25188970304589,0.6212681405310794,160.64521883254318
191,2.90248949183143,11.25188970304589,0.6212681405310794,160.64521883254318
194,2.90248949183143,11.25188970304589,0.6212681405310794,160.64521883254318
197,2.90248949183143,11.25188970304589,0.6212681405310794,160.64521883254318
200,2.90248949183143,11.25188970304589,0.6212681405310794,160.64521883254318
203,2.90248949183143,11.25188970304589,0.6212681405310794,160.64521883254318
206,2.90248949183143,11.25188970304589,0.6212681405310794,160.64521883254318
209,2.90248949183143,11.25188970304589,0.6212681405310794,160.64521883254318
212,2.90248949183143,11.25188970304589,0.6212681405310794,160.64521883254318
215,2.90248949183143,11.25188970304589,0.6212681405310794,160.64521883254318
218,2.90248949183143,11.25188970304589,0.6212681405310794,160.64521883254318
221,2.90248949183143,11.25188970304589,0.6212681405310794,160.64521883254318
224,2.90248949183143,11.25188970304589,0.6212681405310794,160.64521883254318
227,2.90248949183143,11.25188970304589,0.6212681405310794,160.64521883254318
230,2.90248949183143,11.25188970304589,0.6212681405310794,160.64521883254318
233,2.90248949183143,11.25188970304589,0.6212681405310794,160.64521883254318
236,2.90248949183143,11.25188970304589,0.6212681405310794,160.64521883254318
239,2.90248949183143,11.25188970304589,0.6212681405310794,160.64521883254318
242,2.90248949183143,11.25188970304589,0.6212681405310794,160.64521883254318
245,2.90248949183143,11.25188970304589,0.6212681405310794,160.64521883254318
248,2.90248949183143,11.25188970304589,0.6212681405310794,160.64521883254318
251,2.90248949183143,11.25188970304589,0.6212681405310794,160.64521883254318
254,2.90248949183143,11.25188970304589,0.6212681405310794,160.64521883254318
257,2.90248949183143,11.25188970304589,0.6212681405310794,160.64521883254318
260,2.90248949183143,11.25188970304589,0.6212681405310794,160.64521883254318
263,2.90248949183143,11.25188970304589,0.6212681405310794,160.64521883254318
266,2.90248949183143,11.25188970304589,0.6212681405310794,160.64521883254318
269,2.90248949183143,11.25188970304589,0.6212681405310794,160.64521883254318
272,2.90248949183143,11.25188970304589,0.6212681405310794,160.64521883254318
275,2.90248949183143,11.25188970304589,0.6212681405310794,160.64521883254318
278,2.90248949183143,11.25188970304589,0.6212681405310794,160.64521883254318
281,2.90248949183143,11.25188970304589,0.6212681405310794,160.64521883254318
284,2.90248949183143,11.25188970304589,0.6212681405310794,160.64521883254318
287,2.90248949183143,11.25188970304589,0.6212681405310794,160.64521883254318
290,2.90248949183143,11.25188970304589,0.6212681405310794,160.64521883254318
293,2.90248949183143,11.25188970304589,0.6212681405310794,160.64521883254318
296,2.90248949183143,11.25188970304589,0.6212681405310794,160.64521883254318
300,2.90248949183143,11.25188970304589,0.6212681405310794,160.64521883254318
