-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                          ProfilerStep*         3.72%     636.316ms       100.00%       17.120s        8.560s       0.000us         0.00%       32.010s       16.005s     691.51 MB     -23.71 MB     546.91 MB     -21.86 GB             2  
                                       aten::linalg_svd         0.00%     281.127us        37.02%        6.337s     198.046ms       0.000us         0.00%       30.092s     940.377ms           0 B           0 B     351.30 MB           0 B            32  
                                      aten::_linalg_svd         1.94%     332.213ms        37.01%        6.337s     198.038ms        4.817s        44.60%       30.092s     940.377ms           0 B      -4.00 KB     351.30 MB      65.29 MB            32  
                                       cudaLaunchKernel        12.66%        2.167s        14.98%        2.564s       4.534us       3.679us         0.00%       13.782s      24.365us           0 B           0 B           0 B           0 B        565625  
                                          ProfilerStep*         0.00%       0.000us         0.00%       0.000us       0.000us        9.598s        88.86%        9.598s        9.598s           0 B           0 B           0 B           0 B             1  
                                           Buffer Flush         0.06%      10.275ms         0.06%      10.363ms     175.636us        7.987s        73.94%        7.987s     135.368ms           0 B           0 B      79.00 KB      79.00 KB            59  
                                Activity Buffer Request         0.61%     103.792ms         0.61%     103.792ms       1.887ms        6.895s        63.84%        6.895s     125.366ms           0 B           0 B           0 B           0 B            55  
                       Runtime Triggered Module Loading         2.14%     366.814ms         2.14%     366.814ms       3.987ms        5.797s        53.67%        5.797s      63.016ms           0 B           0 B           0 B           0 B            92  
