-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                               aten::to         0.04%      11.555ms         0.59%     160.980ms      24.532us       0.000us         0.00%      18.819ms       2.868us       4.30 KB           0 B       3.06 GB           0 B          6562  
                                         aten::_to_copy         0.13%      35.108ms         0.55%     149.425ms      33.571us       0.000us         0.00%      18.819ms       4.228us       4.30 KB           0 B       3.06 GB           0 B          4451  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 27.297s
Self CUDA time total: 10.087s

-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                            aten::empty         0.18%      48.752ms         0.18%      49.672ms       5.473us       0.000us         0.00%       0.000us       0.000us      17.91 KB      17.91 KB      16.13 GB      16.13 GB          9076  
                                    aten::empty_strided         0.13%      35.262ms         0.13%      35.590ms       7.524us       0.000us         0.00%       0.000us       0.000us       4.30 KB       4.30 KB       3.09 GB       3.09 GB          4730  
                                              aten::mul         0.50%     133.826ms         0.82%     221.130ms      26.885us      30.190ms         0.30%      30.278ms       3.681us       1.31 KB       1.33 KB       2.22 GB       2.22 GB          8225  
                                              aten::div         0.00%       1.334ms         0.01%       1.574ms     196.710us       0.000us         0.00%       0.000us       0.000us       1.00 KB       1.02 KB           0 B           0 B             8  
                                       aten::reciprocal         0.00%     742.116us         0.00%     860.980us     143.497us       0.000us         0.00%       0.000us       0.000us         768 B         768 B           0 B           0 B             6  
                                              aten::sub         0.04%      11.619ms         0.07%      17.787ms      27.620us       2.213ms         0.02%       2.216ms       3.441us         512 B         520 B       2.72 MB       2.72 MB           644  
                                            aten::where         0.08%      21.320ms         0.40%     108.735ms      84.685us       2.531ms         0.03%       6.190ms       4.821us         512 B         512 B       1.70 MB    -307.50 KB          1284  
                                          aten::resize_         0.05%      13.723ms         0.05%      14.214ms       5.145us       0.000us         0.00%       0.000us       0.000us         512 B         512 B       8.61 MB       8.61 MB          2763  
                                              aten::add         0.27%      72.860ms         0.46%     124.088ms      26.129us      12.331ms         0.12%      12.377ms       2.606us         256 B         264 B     450.57 MB     450.57 MB          4749  
                                              aten::pow         0.11%      30.977ms         0.27%      73.391ms      53.648us       3.676ms         0.04%       3.714ms       2.715us         256 B         260 B     539.38 MB     539.36 MB          1368  
                                               aten::gt         0.00%     633.398us         0.00%     759.280us     189.820us       0.000us         0.00%       0.000us       0.000us         128 B         136 B           0 B           0 B             4  
                                      aten::bitwise_not         0.00%       1.073ms         0.01%       1.575ms      43.753us      77.508us         0.00%      80.004us       2.222us         128 B         128 B       7.83 MB       7.83 MB            36  
