page,method,k,rmse,cos_sim
9,method_3,69,0.026426783295655034,0.9703512787818909
9,method_4,22,0.030732214493320014,0.9596853256225586
9,method_4,38,0.022153045025351682,0.9792591333389282
9,method_4,63,0.013489557584121393,0.99235999584198
10,method_1,22,0.03289556937022973,0.9545859694480896
10,method_1,38,0.028171380984636923,0.9669016599655151
10,method_1,63,0.018916663341924104,0.9852537512779236
10,method_2,22,0.04077360724444706,0.9293190240859985
10,method_2,32,0.03565014344281585,0.9464669227600098
10,method_2,69,0.02067324846015453,0.982330322265625
10,method_3,19,0.04416276062359556,0.9165657758712769
10,method_3,38,0.03558081818019494,0.9467305541038513
10,method_3,69,0.02634669872131814,0.9711131453514099
10,method_4,22,0.03115241452809966,0.9593657851219177
10,method_4,38,0.02142038352109174,0.980998158454895
10,method_4,63,0.014053907497043492,0.9918649792671204
