method,k,mean,std,min,max
method_3,86,0.022849877628045683,0.0036813017004384144,0.0150430007482962,0.027821500149403138
method_3,89,0.022131331093073615,0.0035990105217439056,0.01444915075690903,0.026500233780194084
method_3,92,0.02169592528452382,0.003694776458720142,0.013735784123949688,0.026567117249420572
method_3,95,0.021125780006788972,0.0035363397069856223,0.01328708670755242,0.02534281144288686
method_3,98,0.020564486619389456,0.0033952414697615767,0.01303694766012184,0.024706466342287983
method_3,101,0.019979608544923443,0.003308763962847972,0.012259385373033116,0.023907316147492395
method_3,104,0.01948352945865164,0.0033078415392679235,0.011827538232795283,0.02360239855080389
method_3,107,0.019015841501370943,0.003462020103028368,0.010811778091472067,0.02305208900842383
method_3,110,0.01842280525859762,0.003455352672164499,0.009995902306199986,0.021935877218298813
method_3,113,0.018042329233270323,0.0035932127966018727,0.009295355885325155,0.02159058735154264
method_3,116,0.017484135876724365,0.0035241567146017676,0.008891184570279773,0.02082169538024267
method_3,119,0.017070083563775686,0.0035847260806734504,0.008238333121760918,0.020205219541638335
method_3,122,0.01667236278954069,0.0035785652211840283,0.007727127890254845,0.01962504514989701
method_3,125,0.01616590598327918,0.003557971069843551,0.007211986586904064,0.01897314840431055
method_3,128,0.015600520844053606,0.0037363069378480037,0.005994716950825123,0.01840132858786735
method_3,131,0.014561774838596409,0.0036176025529668712,0.005193256410172171,0.017132806419564127
method_3,134,0.013676557313124279,0.003536517557075974,0.004430679323627522,0.015955714512290053
method_3,137,0.012841668361096787,0.003458511253356053,0.0036896463800241384,0.01489944817424174
method_3,140,0.012120653152747579,0.003301705593558393,0.00338181276642908,0.0141683079218082
method_3,143,0.01145277264558743,0.003275922906134499,0.002744860904571405,0.013502622520420662
method_3,146,0.010771513282574485,0.0031801607381779693,0.0022666707979899265,0.012944249847511469
method_3,150,0.00996538567466994,0.0031958519211609778,0.0014220199485135382,0.012307272248851295
method_4,1,0.08336669689437261,0.002586727266730349,0.079738527794402,0.08675104562269405
method_4,4,0.06040990408827475,0.004407153126505127,0.054309305733759965,0.06649610456842947
method_4,7,0.05148877798476207,0.005099616304016471,0.04360823365473899,0.05966018713422865
method_4,10,0.0462702671620778,0.005519890824842663,0.03814294717529973,0.05410464085245778
method_4,13,0.04123065835110132,0.005013184343152356,0.03331921247777346,0.04905777095597063
method_4,16,0.03797854151701296,0.004592437033202782,0.030287083887955535,0.0457663919388498
method_4,19,0.03466696068681204,0.003998223086131302,0.028008433186132366,0.042591477463709206
method_4,22,0.03266604264474277,0.003656053950912062,0.026597814672283736,0.03955645726530168
method_4,25,0.030580884535812806,0.0031433657420709745,0.024726262683994242,0.035765974996240825
method_4,28,0.028491691711476735,0.0026501795452481477,0.023167767962095555,0.033128879787748006
method_4,31,0.02668029693725472,0.002334409477452267,0.021954432851338967,0.030687978895244484
method_4,34,0.02524857738121673,0.0021668369806076317,0.020896414409291776,0.028736269206171585
method_4,37,0.023572431268156085,0.002349881810980637,0.019182416757883212,0.027328402818870196
method_4,40,0.022089861715886297,0.002141284025162417,0.018389737229525104,0.025275228374639302
method_4,43,0.020617666709555785,0.0021757871070010523,0.016542273601678762,0.02327234096327298
method_4,46,0.01931312889922623,0.0021179145079799765,0.01518106405903586,0.021604339179068056
method_4,49,0.01813067187553346,0.0020574410873780186,0.013959550938251167,0.020222225085505616
