page,method,k,rmse,cos_sim
6,method_4,61,0.013297235811786799,0.9915708303451538
6,method_4,64,0.01262460559565885,0.9924051761627197
6,method_4,67,0.012047025957712532,0.993086576461792
6,method_4,70,0.010929632590371878,0.99431312084198
6,method_4,73,0.010422258727839803,0.9948301315307617
6,method_4,77,0.009683697106330888,0.995538592338562
6,method_4,80,0.009020526229148475,0.9961297512054443
6,method_4,83,0.008143111762467016,0.9968471527099609
6,method_4,86,0.007806752323916611,0.9971026182174683
6,method_4,89,0.007266808554908285,0.9974901080131531
6,method_4,92,0.006882780852989943,0.997748613357544
6,method_4,95,0.006424056095328664,0.9980389475822449
6,method_4,98,0.005874722034237436,0.9983604550361633
6,method_4,101,0.005359250016432479,0.9986355900764465
6,method_4,104,0.004931564879307841,0.9988448619842529
6,method_4,107,0.004366219736581825,0.9990946054458618
6,method_4,110,0.0035693559400615084,0.999394953250885
6,method_4,113,0.0030867841939657553,0.99954754114151
6,method_4,116,0.0025484626047077093,0.9996916651725769
6,method_4,119,0.001966440712005727,0.9998164176940918
6,method_4,122,0.0015878003624492168,0.999880313873291
6,method_4,125,0.0010257253852556936,0.9999500513076782
6,method_4,128,1.7097563169811956e-06,1.0000001192092896
6,method_4,131,1.7097563169811956e-06,1.0000001192092896
6,method_4,134,1.7097563169811956e-06,1.0000001192092896
6,method_4,137,1.7097563169811956e-06,1.0000001192092896
6,method_4,140,1.7097563169811956e-06,1.0000001192092896
6,method_4,143,1.7097563169811956e-06,1.0000001192092896
6,method_4,146,1.7097563169811956e-06,1.0000001192092896
6,method_4,150,1.7097563169811956e-06,1.0000001192092896
7,method_1,1,0.05925808048376293,0.8413316011428833
7,method_1,4,0.04974849653937522,0.8910632133483887
7,method_1,7,0.04625425247105975,0.9065625667572021
7,method_1,10,0.046225188747112726,0.9065955877304077
7,method_1,13,0.04523937865568965,0.9108481407165527
7,method_1,16,0.0428125729351397,0.9205552339553833
7,method_1,19,0.04097466893316561,0.9274021983146667
7,method_1,22,0.039367606288641575,0.9331674575805664
7,method_1,25,0.036503455042920685,0.9428384304046631
