method,k,mean,std,min,max
method_3,61,0.26427460762673,0.033232634396562426,0.1525030510409956,0.33432986445797147
method_3,64,0.2572347356082016,0.03283899459724162,0.14505485647210883,0.3267672036990683
method_3,67,0.250370560217224,0.032335564571726816,0.14035029327874407,0.3247765549062412
method_3,70,0.24389222936597027,0.03228344739763674,0.13852160976026015,0.32349481682422976
method_3,73,0.23618607894698593,0.031574727811941976,0.13542771894037087,0.31033842933947436
method_3,77,0.2277691550177791,0.03104133762361168,0.12122550794395161,0.3070946514398545
method_3,80,0.22138650853342384,0.03003699159764324,0.11553436857990954,0.3083328089783703
method_3,83,0.21539859108219753,0.029628469417699282,0.10366501067132958,0.2949148280006712
method_3,86,0.20948260297261295,0.02978281448708397,0.09675627410903487,0.29986635449595445
method_3,89,0.20391799463911933,0.029951528128861832,0.09071825328453405,0.30390782835459146
method_3,92,0.19851536142337195,0.029702640013531876,0.08676560699820604,0.2871197170567942
method_3,95,0.1929211250197293,0.029905482810787726,0.08132038482036003,0.27430560870987647
method_3,98,0.18779987179182317,0.030089476726508937,0.06887861165457096,0.2724017190523225
method_3,101,0.18269676643984828,0.0300318630093526,0.06414631958128046,0.2551064844785875
method_3,104,0.17797181522429725,0.03018502462996309,0.05142697285179189,0.24695326173864302
method_3,107,0.17297126700760268,0.030189053285421045,0.04585936180905025,0.23937730324509832
method_3,110,0.16848063367212363,0.030536518831919213,0.036122079186582286,0.23793484817937793
method_3,113,0.16436883156319823,0.031248379721382495,0.03196770218041412,0.22920166441034423
method_3,116,0.16022060308984812,0.03194707398878606,0.015291290924897479,0.21677076798247447
method_3,119,0.1560755403526544,0.03230305126795443,0.008811058118767704,0.211513609696465
method_3,122,0.15193734750378401,0.03345893826516226,3.0384307539100762e-05,0.20647157821070655
method_3,125,0.14800591848475278,0.034243583119928096,2.4395553047189936e-05,0.20490133446728373
method_3,128,0.1429107306483351,0.03421827198368283,2.4395553047189936e-05,0.20047524652829946
method_3,131,0.13333606820133612,0.03260950236342084,2.4395553047189936e-05,0.18390614319712345
method_3,134,0.1251891339613884,0.031105524026637826,2.4395553047189936e-05,0.17747894751003343
method_3,137,0.1178690919983268,0.029634680273269518,2.4395553047189936e-05,0.16694033224038343
method_3,140,0.11128016048036117,0.028555751602078516,2.4395553047189936e-05,0.15870204696723456
method_3,143,0.10512864730078973,0.027553953785128964,2.4395553047189936e-05,0.14674167798693719
method_3,146,0.09927821121027709,0.026507263960152364,2.4395553047189936e-05,0.1368303907309022
method_3,150,0.09237402081935457,0.02539715720145474,2.4395553047189936e-05,0.13234448716220779
method_4,1,0.7922090413140491,0.04350006576403946,0.6997966045899442,0.9899617153240751
method_4,4,0.5535799415924324,0.03848911041140285,0.4680345037284603,0.6991885118063825
method_4,7,0.4596092969134187,0.033706658165683426,0.394347716474926,0.609785062398672
method_4,10,0.40831855673931633,0.03103345904022592,0.3432652410949157,0.5228316552357914
method_4,13,0.367771191080112,0.026968736909215214,0.31364631571796375,0.4744270083536587
method_4,16,0.33520349879904837,0.024777867913910647,0.27997820776649146,0.4086951055672728
method_4,19,0.31064309393807293,0.02301531740469103,0.24522706087855398,0.3835395485438952
method_4,22,0.2902992386388522,0.022191299879320416,0.23050318570703976,0.36009050505400875
method_4,25,0.272261345325385,0.020986505686559655,0.217602983663482,0.33754542019827327
method_4,28,0.2555815459204121,0.020479269779862724,0.19811851191652022,0.32671398762376186
method_4,31,0.24089513168828544,0.020266055854262777,0.18352208347612825,0.313142422687261
method_4,34,0.22701235997719324,0.020226995486496598,0.1624667488518863,0.3047367439929077
method_4,37,0.21367802837910657,0.02018317572337683,0.14011116099477283,0.2860250649604941
method_4,40,0.20136248921731809,0.02032165445613462,0.12590182525700414,0.26123801382397843
method_4,43,0.1899863144081468,0.01975961225752956,0.11708397510106153,0.24582452387477893
method_4,46,0.1790089628913305,0.019318229214583166,0.10730497196333141,0.2379962378502956
method_4,49,0.1685071923537727,0.01886974767870209,0.09719404743602232,0.21588410141958542
method_4,52,0.15855949243570738,0.018586270584274162,0.08839603911195963,0.21024175693337047
method_4,55,0.14915104596139875,0.017921391649877133,0.08325084073069965,0.19391095723437216
method_4,58,0.1406073058356768,0.017396037542508073,0.0773527931602122,0.1849313898354832
method_4,61,0.13251844388420925,0.01688171067373746,0.07018441892512546,0.18186651120918987
method_4,64,0.12454251185271341,0.016587254313735766,0.06158089118666313,0.16424060400458307
method_4,67,0.11692601176315406,0.016290011948423475,0.0569509312550358,0.1534192988453609
method_4,70,0.10990097233590852,0.015722115018089334,0.052840181068358985,0.1474577173528479
method_4,73,0.10285408529301864,0.015006619092365002,0.048065663088308404,0.13886069964863076
method_4,77,0.09390176295210811,0.014385124964568653,0.0407208632290911,0.12794482180529101
method_4,80,0.08776801477418993,0.013914568804668294,0.0373342422980532,0.12118177342438399
method_4,83,0.08175769877635478,0.013353315396567162,0.03296862855326458,0.11191201971664062
method_4,86,0.07581515386051843,0.012828740409887594,0.02932888074261322,0.1040213564904586
method_4,89,0.07030946800182966,0.012121137441541896,0.02735721331226821,0.09428218564577356
method_4,92,0.06507288413926689,0.011516711021770331,0.02448205317490481,0.08807999049371573
method_4,95,0.05981029039236943,0.010892701580730961,0.019554622495145925,0.08033664041115374
method_4,98,0.05461066037006175,0.010125793952784248,0.01737276911531692,0.07423591495024169
method_4,101,0.049733991333992006,0.009584662077057288,0.013869591446268054,0.06780039039610937
method_4,104,0.04500048099477775,0.008988578847700247,0.01215395439801256,0.06083687095926842
method_4,107,0.04048157953906753,0.008403281881138445,0.009389112163611404,0.05652365230579103
