method,k,mean,std,min,max
method_2,1,0.08395792412728487,0.003785881263019741,0.07821755291391952,0.09068997064303583
method_2,4,0.06157507031018374,0.005048180064388313,0.05462105793540166,0.0697710027843332
method_2,7,0.055376779268777473,0.004172341718519111,0.049632368053353984,0.06265363213904063
method_2,10,0.050327844809482436,0.0036814796849011324,0.04517401031671152,0.055587762271902735
method_2,13,0.04784659967391539,0.003926725933670398,0.042005953916401696,0.052627255999340754
method_2,16,0.044667527012174225,0.0034776715605532244,0.03951039577698007,0.04872150701860121
method_2,19,0.042337425493307504,0.0036428968240149796,0.03572076164412681,0.046590195646098086
method_2,22,0.04031709417051295,0.0033760641433556765,0.033952677814428324,0.044951809881283375
method_2,25,0.03865069106970256,0.0030161123120379858,0.034265211939007174,0.04291366031309997
method_2,28,0.036840670369522155,0.0028946396481336666,0.0325644670216557,0.040853710121482936
method_2,31,0.03520095111325211,0.003788444332914698,0.027930477729702127,0.03965441495485776
method_2,34,0.033617690921483014,0.0037888184583973507,0.026136412721802678,0.0385677461988322
method_2,37,0.03242593900047437,0.003946531499939075,0.024482876832764795,0.036578813623674565
method_2,40,0.03128358110643438,0.004144258799823268,0.02269997206053204,0.03557929509851861
method_2,43,0.02989805900354358,0.004361784014818547,0.020485134585418452,0.03437399469877974
method_2,46,0.028618088054125607,0.004562944274981026,0.018801815086714992,0.032979856169579214
method_2,49,0.02728913880357562,0.004367982531319961,0.017438697354944712,0.03167446028673748
method_2,52,0.0260988014252388,0.004459966865301062,0.01677031076383595,0.03162418176630038
method_2,55,0.024646981134994996,0.00450751505291736,0.015562196705931083,0.030797769788440028
method_2,58,0.023635005752327222,0.00459896961522657,0.014449163345805373,0.02953123391777943
method_2,61,0.022869662568977687,0.004157155174438835,0.015156636189396226,0.027183466334961843
method_2,64,0.021620964780367017,0.003929395115636046,0.01395483990376494,0.026301539563193546
method_2,67,0.02079719382402697,0.004028433186237251,0.012665390667059686,0.02556037781852524
method_2,70,0.01949798656211072,0.0038620219982574266,0.01200820226388086,0.024248989659561966
method_2,73,0.018210045227682044,0.0037194675738758476,0.010537470630404938,0.022452964611582287
method_2,77,0.01667384707099611,0.0034995671127581334,0.009641293972946734,0.02010627813615741
method_2,80,0.01538801116634451,0.003129026096995188,0.009175498001945647,0.01909771410472375
method_2,83,0.014265118159110732,0.0030797625973461025,0.008355340050682116,0.017916104919747947
method_2,86,0.01320094846869298,0.0031506210211718296,0.006903517095142522,0.01690589647917251
method_2,89,0.012163561970482979,0.0029034444276681967,0.006223270567724753,0.015506552944901941
method_2,92,0.011236523126623476,0.002898224465356802,0.004734561454878085,0.014206841702982477
method_2,95,0.01057492632273782,0.0030053911241244794,0.004565905400215949,0.01374698077030616
method_2,98,0.009831270614910383,0.003069610543480888,0.0034911990009200504,0.013227217299996617
method_2,101,0.009153615476800736,0.0028776200694808135,0.003142378869218493,0.011960357767671582
method_2,104,0.008315417464465739,0.0028388236690675755,0.002673544856134928,0.012083296107242198
method_2,107,0.007344840896244239,0.002646342571171743,0.0023920275473736734,0.01166076707577898
