method,k,mean,std,min,max
method_1,159,1.4427278898361294e-05,1.949449197537925e-06,9.543506801197075e-06,2.0303354173050454e-05
method_1,161,1.4427278898361294e-05,1.949449197537925e-06,9.543506801197075e-06,2.0303354173050454e-05
method_1,163,1.4427278898361294e-05,1.949449197537925e-06,9.543506801197075e-06,2.0303354173050454e-05
method_1,165,1.4427278898361294e-05,1.949449197537925e-06,9.543506801197075e-06,2.0303354173050454e-05
method_1,167,1.4427278898361294e-05,1.949449197537925e-06,9.543506801197075e-06,2.0303354173050454e-05
method_1,169,1.4427278898361294e-05,1.949449197537925e-06,9.543506801197075e-06,2.0303354173050454e-05
method_1,171,1.4427278898361294e-05,1.949449197537925e-06,9.543506801197075e-06,2.0303354173050454e-05
method_1,173,1.4427278898361294e-05,1.949449197537925e-06,9.543506801197075e-06,2.0303354173050454e-05
method_1,175,1.4427278898361294e-05,1.949449197537925e-06,9.543506801197075e-06,2.0303354173050454e-05
method_1,177,1.4427278898361294e-05,1.949449197537925e-06,9.543506801197075e-06,2.0303354173050454e-05
method_1,179,1.4427278898361294e-05,1.949449197537925e-06,9.543506801197075e-06,2.0303354173050454e-05
method_1,181,1.4427278898361294e-05,1.949449197537925e-06,9.543506801197075e-06,2.0303354173050454e-05
method_1,183,1.4427278898361294e-05,1.949449197537925e-06,9.543506801197075e-06,2.0303354173050454e-05
method_1,185,1.4427278898361294e-05,1.949449197537925e-06,9.543506801197075e-06,2.0303354173050454e-05
method_1,187,1.4427278898361294e-05,1.949449197537925e-06,9.543506801197075e-06,2.0303354173050454e-05
method_1,189,1.4427278898361294e-05,1.949449197537925e-06,9.543506801197075e-06,2.0303354173050454e-05
method_1,191,1.4427278898361294e-05,1.949449197537925e-06,9.543506801197075e-06,2.0303354173050454e-05
method_1,193,1.4427278898361294e-05,1.949449197537925e-06,9.543506801197075e-06,2.0303354173050454e-05
method_1,195,1.4427278898361294e-05,1.949449197537925e-06,9.543506801197075e-06,2.0303354173050454e-05
method_1,197,1.4427278898361294e-05,1.949449197537925e-06,9.543506801197075e-06,2.0303354173050454e-05
method_1,199,1.4427278898361294e-05,1.949449197537925e-06,9.543506801197075e-06,2.0303354173050454e-05
method_1,201,1.4427278898361294e-05,1.949449197537925e-06,9.543506801197075e-06,2.0303354173050454e-05
method_1,203,1.4427278898361294e-05,1.949449197537925e-06,9.543506801197075e-06,2.0303354173050454e-05
method_1,205,1.4427278898361294e-05,1.949449197537925e-06,9.543506801197075e-06,2.0303354173050454e-05
method_1,207,1.4427278898361294e-05,1.949449197537925e-06,9.543506801197075e-06,2.0303354173050454e-05
method_1,209,1.4427278898361294e-05,1.949449197537925e-06,9.543506801197075e-06,2.0303354173050454e-05
method_1,211,1.4427278898361294e-05,1.949449197537925e-06,9.543506801197075e-06,2.0303354173050454e-05
method_1,213,1.4427278898361294e-05,1.949449197537925e-06,9.543506801197075e-06,2.0303354173050454e-05
method_1,215,1.4427278898361294e-05,1.949449197537925e-06,9.543506801197075e-06,2.0303354173050454e-05
method_1,217,1.4427278898361294e-05,1.949449197537925e-06,9.543506801197075e-06,2.0303354173050454e-05
method_1,219,1.4427278898361294e-05,1.949449197537925e-06,9.543506801197075e-06,2.0303354173050454e-05
method_1,221,1.4427278898361294e-05,1.949449197537925e-06,9.543506801197075e-06,2.0303354173050454e-05
method_1,223,1.4427278898361294e-05,1.949449197537925e-06,9.543506801197075e-06,2.0303354173050454e-05
method_1,225,1.4427278898361294e-05,1.949449197537925e-06,9.543506801197075e-06,2.0303354173050454e-05
method_1,227,1.4427278898361294e-05,1.949449197537925e-06,9.543506801197075e-06,2.0303354173050454e-05
method_1,229,1.4427278898361294e-05,1.949449197537925e-06,9.543506801197075e-06,2.0303354173050454e-05
method_1,231,1.4427278898361294e-05,1.949449197537925e-06,9.543506801197075e-06,2.0303354173050454e-05
method_1,233,1.4427278898361294e-05,1.949449197537925e-06,9.543506801197075e-06,2.0303354173050454e-05
