page,method,k,rmse,cos_sim
1,method_2,104,0.004796696459130423,0.9990798234939575
1,method_2,107,0.003601906062078966,0.9994757175445557
1,method_2,110,0.00255540623348674,0.9997323155403137
1,method_2,113,0.0021303154594169964,0.999813973903656
1,method_2,116,0.0016692714342014345,0.9998844265937805
1,method_2,119,0.0012104165391787515,0.9999390840530396
1,method_2,122,0.0007510458093561046,0.9999765157699585
1,method_2,125,0.00046657940286468324,0.9999909400939941
1,method_2,128,2.8001365138155744e-06,1.0
1,method_2,131,2.8001365138155744e-06,1.0
1,method_2,134,2.8001365138155744e-06,1.0
1,method_2,137,2.8001365138155744e-06,1.0
1,method_2,140,2.8001365138155744e-06,1.0
1,method_2,143,2.8001365138155744e-06,1.0
1,method_2,146,2.8001365138155744e-06,1.0
1,method_2,150,2.8001365138155744e-06,1.0
1,method_3,1,0.07943085429615074,0.6897996664047241
1,method_3,4,0.05240564849874553,0.8784833550453186
1,method_3,7,0.04844863527111636,0.8970131874084473
1,method_3,10,0.048236353227978215,0.8981144428253174
1,method_3,13,0.04765074788052793,0.9010014533996582
1,method_3,16,0.0416152708208563,0.9259573817253113
1,method_3,19,0.03923572783803984,0.9346137046813965
1,method_3,22,0.0375693666864997,0.9399980306625366
1,method_3,25,0.03604907727066289,0.9446535110473633
1,method_3,28,0.035452363896679974,0.9464242458343506
1,method_3,31,0.03132569005414771,0.9583173394203186
1,method_3,34,0.030058920793755713,0.9616660475730896
1,method_3,37,0.027588143811709806,0.9678248167037964
1,method_3,40,0.025952323875300783,0.9715718030929565
1,method_3,43,0.0248449976569557,0.9739822745323181
1,method_3,46,0.02401688319635074,0.9757026433944702
1,method_3,49,0.023403337784252652,0.97694331407547
1,method_3,52,0.02240729275018456,0.9788842797279358
1,method_3,55,0.02235306356463742,0.9790027141571045
1,method_3,58,0.0216464000561466,0.9803183078765869
1,method_3,61,0.020004276098138988,0.9832065105438232
1,method_3,64,0.019419368282955575,0.9841817021369934
1,method_3,67,0.018444654973917972,0.9857415556907654
1,method_3,70,0.0181373198402112,0.98622065782547
1,method_3,73,0.017757199836180158,0.9867910742759705
1,method_3,77,0.01690913951085798,0.9880306720733643
1,method_3,80,0.016393244184915622,0.9887550473213196
1,method_3,83,0.015431593863203112,0.9900453090667725
1,method_3,86,0.0150430007482962,0.9905377626419067
1,method_3,89,0.01444915075690903,0.9912737607955933
1,method_3,92,0.013735784123949688,0.9921273589134216
1,method_3,95,0.01328708670755242,0.9926344156265259
1,method_3,98,0.01303694766012184,0.9929108619689941
1,method_3,101,0.012259385373033116,0.9937421083450317
1,method_3,104,0.011827538232795283,0.9941898584365845
1,method_3,107,0.010811778091472067,0.995136559009552
1,method_3,110,0.009995902306199986,0.9958339929580688
1,method_3,113,0.009295355885325155,0.9963983297348022
1,method_3,116,0.008891184570279773,0.9967045187950134
1,method_3,119,0.008238333121760918,0.9971712231636047
1,method_3,122,0.007727127890254845,0.9975130558013916
1,method_3,125,0.007211986586904064,0.9978329539299011
1,method_3,128,0.005994716950825123,0.9985036849975586
1,method_3,131,0.005193256410172171,0.9988769888877869
1,method_3,134,0.004430679323627522,0.999182939529419
1,method_3,137,0.0036896463800241384,0.9994333386421204
1,method_3,140,0.00338181276642908,0.9995239973068237
1,method_3,143,0.002744860904571405,0.999686598777771
1,method_3,146,0.0022666707979899265,0.9997861981391907
1,method_3,150,0.0014220199485135382,0.9999158382415771
1,method_4,1,0.08179631537252376,0.6656216382980347
1,method_4,4,0.05524296805337848,0.8636901378631592
1,method_4,7,0.04787168274435014,0.899573564529419
1,method_4,10,0.04047423927993161,0.9293193817138672
1,method_4,13,0.03681976628085551,0.9418853521347046
1,method_4,16,0.034491691926007574,0.9491932392120361
1,method_4,19,0.031392855011751264,0.9581039547920227
1,method_4,22,0.02910169815025461,0.9641062617301941
1,method_4,25,0.027588129042548887,0.9678034782409668
1,method_4,28,0.02600146346912365,0.9714533090591431
1,method_4,31,0.023980130047510397,0.9757722616195679
1,method_4,34,0.02291999640531901,0.9778908491134644
1,method_4,37,0.020472092401083587,0.9824013710021973
1,method_4,40,0.018855460125142953,0.9850913286209106
1,method_4,43,0.016542273601678762,0.9885448217391968
1,method_4,46,0.01518106405903586,0.9903613328933716
1,method_4,49,0.013959550938251167,0.9918560981750488
1,method_4,52,0.012872293335710534,0.9930795431137085
1,method_4,55,0.011990766501265952,0.9939977526664734
1,method_4,58,0.01127448281130475,0.9946953654289246
1,method_4,61,0.010391039293318945,0.9954959154129028
1,method_4,64,0.009275403259017318,0.9964127540588379
1,method_4,67,0.008638188441444837,0.9968894124031067
1,method_4,70,0.008098684500062788,0.9972663521766663
1,method_4,73,0.007217847758230385,0.9978293180465698
1,method_4,77,0.006208126219387149,0.9983946084976196
1,method_4,80,0.00570034521566933,0.99864661693573
1,method_4,83,0.005182611785982087,0.998881459236145
1,method_4,86,0.004842221777628029,0.9990236163139343
1,method_4,89,0.004515420994602148,0.9991510510444641
1,method_4,92,0.004190406964094767,0.9992688894271851
1,method_4,95,0.0037893387021584336,0.9994021654129028
1,method_4,98,0.0032683153480930643,0.9995552897453308
1,method_4,101,0.0028747116680757755,0.999656081199646
1,method_4,104,0.0025405963440790266,0.9997313618659973
1,method_4,107,0.002009718890512436,0.9998319149017334
1,method_4,110,0.0018310139572063977,0.9998605251312256
1,method_4,113,0.0015228932944200907,0.9999034404754639
1,method_4,116,0.0012454370885793804,0.999935507774353
1,method_4,119,0.0009322174369828154,0.9999638199806213
1,method_4,122,0.0006403605031776213,0.9999829530715942
1,method_4,125,0.00036161697358131283,0.9999945163726807
1,method_4,128,2.2334179460656003e-06,1.0
1,method_4,131,2.2334179460656003e-06,1.0
1,method_4,134,2.2334179460656003e-06,1.0
1,method_4,137,2.2334179460656003e-06,1.0
1,method_4,140,2.2334179460656003e-06,1.0
1,method_4,143,2.2334179460656003e-06,1.0
1,method_4,146,2.2334179460656003e-06,1.0
1,method_4,150,2.2334179460656003e-06,1.0
2,method_1,1,0.05352976544323655,0.8640488982200623
2,method_1,4,0.044282467566248776,0.9092051386833191
2,method_1,7,0.04108405648876451,0.9223965406417847
2,method_1,10,0.039387718539746236,0.9290565252304077
2,method_1,13,0.03732466674467958,0.9365664720535278
2,method_1,16,0.03332260492059411,0.9499253630638123
2,method_1,19,0.03265813816637408,0.9519515037536621
2,method_1,22,0.031233627716924683,0.9561007022857666
2,method_1,25,0.031169065707995165,0.9563851356506348
2,method_1,28,0.028986692498205,0.9622232913970947
2,method_1,31,0.02810701976834683,0.9645862579345703
2,method_1,34,0.027105466106676895,0.9671421051025391
2,method_1,37,0.026886739731103886,0.9676873087882996
2,method_1,40,0.025763670073422323,0.970406174659729
2,method_1,43,0.02542638896279466,0.9712181091308594
2,method_1,46,0.02404293503824779,0.9742112159729004
2,method_1,49,0.023177182679775997,0.9760298132896423
2,method_1,52,0.02189577945903797,0.9785741567611694
2,method_1,55,0.019951501985723367,0.982232928276062
2,method_1,58,0.019382806770265434,0.9832461476325989
2,method_1,61,0.01677670376570641,0.9874710440635681
2,method_1,64,0.01682043339832699,0.9874044060707092
2,method_1,67,0.016489075593898884,0.9878988265991211
2,method_1,70,0.01518717219326779,0.9897441864013672
2,method_1,73,0.015090318962002637,0.989877462387085
2,method_1,77,0.014413622488242581,0.9907699823379517
2,method_1,80,0.013617800314153045,0.9917639493942261
2,method_1,83,0.012578223686023637,0.9929863810539246
2,method_1,86,0.011247555158493282,0.9944049119949341
2,method_1,89,0.010415190338157484,0.9952001571655273
2,method_1,92,0.009875862228848648,0.9956976175308228
2,method_1,95,0.00816468915747353,0.9970492124557495
2,method_1,98,0.007544842212639967,0.9974784851074219
2,method_1,101,0.007530260955514879,0.9974947571754456
2,method_1,104,0.007393467882977238,0.9975824952125549
2,method_1,107,0.006980657312867496,0.9978450536727905
2,method_1,110,0.006161369669077417,0.9983217120170593
2,method_1,113,0.004233793493020888,0.9992107152938843
2,method_1,116,0.003694738865882058,0.9993999004364014
2,method_1,119,0.0028144819557451677,0.9996508955955505
2,method_1,122,0.002474259447542653,0.9997303485870361
2,method_1,125,0.0018096250348441144,0.9998575448989868
2,method_1,128,1.2683535595791338e-06,1.0
2,method_1,131,1.2683535595791338e-06,1.0
2,method_1,134,1.2683535595791338e-06,1.0
2,method_1,137,1.2683535595791338e-06,1.0
2,method_1,140,1.2683535595791338e-06,1.0
2,method_1,143,1.2683535595791338e-06,1.0
2,method_1,146,1.2683535595791338e-06,1.0
2,method_1,150,1.2683535595791338e-06,1.0
2,method_2,1,0.08411396917565747,0.6178781390190125
2,method_2,4,0.05925682512452747,0.8303019404411316
2,method_2,7,0.050811032126663026,0.8784067630767822
2,method_2,10,0.04609546577363735,0.9011883735656738
