CUDA_VISIBLE_DEVICES: 0
Available GPUs: 1
Current device: 0
step=65 loss=6.974248e+00
step=70 loss=2.407467e+00
step=75 loss=5.965472e+00
step=80 loss=1.030608e+01
step=85 loss=3.582339e+00
step=90 loss=3.747302e+00
step=95 loss=2.722593e+00
Training and evaluating model with k=50
step=0 loss=1.236397e+03
step=5 loss=3.863863e+02
step=10 loss=1.523234e+02
step=15 loss=8.898209e+01
step=20 loss=1.040520e+02
step=25 loss=5.304689e+01
step=30 loss=4.210195e+01
step=35 loss=4.605597e+01
step=40 loss=4.690103e+01
step=45 loss=3.031519e+01
step=50 loss=2.452317e+01
step=55 loss=3.793804e+00
step=60 loss=1.468575e+01
step=65 loss=9.620440e+00
step=70 loss=2.320058e+00
step=75 loss=7.796721e+00
step=80 loss=7.199102e+00
step=85 loss=6.903188e+00
step=90 loss=5.002506e+00
step=95 loss=8.147501e+00
Training and evaluating model with k=55
step=0 loss=1.773073e+02
step=5 loss=9.810688e+01
step=10 loss=8.264486e+01
step=15 loss=4.728334e+01
step=20 loss=3.815456e+01
step=25 loss=3.095588e+01
step=30 loss=2.757137e+01
step=35 loss=2.985334e+01
step=40 loss=1.696414e+01
step=45 loss=2.047721e+01
step=50 loss=1.616057e+01
step=55 loss=2.967647e+00
step=60 loss=9.463671e+00
step=65 loss=9.553839e+00
step=70 loss=3.457505e+00
step=75 loss=4.549741e+00
step=80 loss=3.705216e+00
step=85 loss=3.476541e+00
step=90 loss=2.952733e+00
step=95 loss=2.849446e+00
Training and evaluating model with k=60
step=0 loss=1.261045e+02
step=5 loss=1.016418e+02
step=10 loss=4.570850e+01
step=15 loss=6.870574e+01
step=20 loss=2.432212e+01
step=25 loss=1.954396e+01
step=30 loss=2.255465e+01
step=35 loss=2.281595e+01
step=40 loss=1.529427e+01
step=45 loss=7.182213e+00
step=50 loss=8.613503e+00
step=55 loss=1.878771e+00
step=60 loss=4.748918e+00
step=65 loss=3.404353e+00
step=70 loss=1.429889e+00
step=75 loss=2.581642e+00
step=80 loss=3.422655e+00
step=85 loss=2.845519e+00
step=90 loss=2.273985e+00
step=95 loss=2.348744e+00
Training and evaluating model with k=65
step=0 loss=6.735214e+02
step=5 loss=1.176289e+02
step=10 loss=1.038855e+02
step=15 loss=8.116348e+01
step=20 loss=5.288244e+01
step=25 loss=2.854583e+01
step=30 loss=1.937603e+01
step=35 loss=2.240810e+01
step=40 loss=1.684326e+01
step=45 loss=9.166348e+00
step=50 loss=1.113876e+01
step=55 loss=1.244326e+00
step=60 loss=4.693235e+00
step=65 loss=4.908966e+00
step=70 loss=1.734151e+00
step=75 loss=3.791736e+00
step=80 loss=3.092498e+00
step=85 loss=2.942155e+00
step=90 loss=2.119548e+00
step=95 loss=2.544323e+00
Training and evaluating model with k=70
step=0 loss=1.917231e+03
step=5 loss=7.703098e+02
step=10 loss=3.251156e+02
step=15 loss=7.333839e+01
step=20 loss=5.068015e+01
step=25 loss=4.993099e+01
step=30 loss=4.561647e+01
step=35 loss=3.975310e+01
step=40 loss=2.172795e+01
step=45 loss=2.139496e+01
step=50 loss=2.585901e+01
step=55 loss=2.843347e+00
step=60 loss=1.225039e+01
step=65 loss=1.037668e+01
step=70 loss=3.702541e+00
step=75 loss=8.722480e+00
step=80 loss=1.083844e+01
step=85 loss=6.074501e+00
step=90 loss=5.279459e+00
step=95 loss=5.544790e+00
Training and evaluating model with k=75
step=0 loss=1.284644e+03
step=5 loss=3.882964e+02
step=10 loss=1.298647e+02
step=15 loss=5.713902e+01
step=20 loss=6.356728e+01
step=25 loss=4.248998e+01
step=30 loss=2.672509e+01
step=35 loss=1.970880e+01
step=40 loss=1.594479e+01
step=45 loss=1.324684e+01
step=50 loss=8.534355e+00
step=55 loss=1.403775e+00
step=60 loss=5.932439e+00
step=65 loss=4.451342e+00
step=70 loss=2.610436e+00
step=75 loss=4.303067e+00
step=80 loss=4.028439e+00
step=85 loss=3.339692e+00
step=90 loss=2.991925e+00
step=95 loss=3.253674e+00
Training and evaluating model with k=80
step=0 loss=6.078710e+01
step=5 loss=3.307974e+01
step=10 loss=4.011020e+01
step=15 loss=2.988066e+01
step=20 loss=1.512339e+01
step=25 loss=1.504909e+01
step=30 loss=1.706037e+01
step=35 loss=6.558722e+00
step=40 loss=1.156160e+01
step=45 loss=8.689251e+00
step=50 loss=3.595271e+00
step=55 loss=5.617735e-01
step=60 loss=2.600640e+00
step=65 loss=2.240177e+00
step=70 loss=8.965392e-01
step=75 loss=2.368778e+00
step=80 loss=2.022365e+00
step=85 loss=3.596340e+00
step=90 loss=1.623056e+00
step=95 loss=1.794013e+00
Training and evaluating model with k=85
step=0 loss=2.281701e+02
step=5 loss=4.087881e+01
step=10 loss=4.476186e+01
step=15 loss=3.024515e+01
step=20 loss=1.792417e+01
step=25 loss=1.328941e+01
step=30 loss=1.197066e+01
step=35 loss=8.262399e+00
step=40 loss=4.330334e+00
step=45 loss=4.279741e+00
step=50 loss=3.663385e+00
step=55 loss=6.592461e-01
step=60 loss=1.478683e+00
step=65 loss=1.677688e+00
step=70 loss=6.709203e-01
step=75 loss=1.108380e+00
step=80 loss=1.143012e+00
step=85 loss=1.117477e+00
step=90 loss=7.585399e-01
step=95 loss=1.323892e+00
Training and evaluating model with k=90
step=0 loss=1.594459e+02
step=5 loss=1.044346e+02
step=10 loss=4.311656e+01
step=15 loss=2.141857e+01
step=20 loss=2.214748e+01
step=25 loss=1.376645e+01
step=30 loss=1.315609e+01
step=35 loss=8.743266e+00
step=40 loss=7.132921e+00
step=45 loss=4.578128e+00
step=50 loss=4.203681e+00
step=55 loss=6.369688e-01
step=60 loss=1.667361e+00
step=65 loss=3.195372e+00
step=70 loss=3.444626e-01
step=75 loss=2.966747e+00
step=80 loss=1.104003e+00
step=85 loss=1.089787e+00
step=90 loss=1.442837e+00
step=95 loss=1.609360e+00
Training and evaluating model with k=95
step=0 loss=4.475769e+02
step=5 loss=5.712825e+01
step=10 loss=3.616621e+01
step=15 loss=4.433808e+01
step=20 loss=2.033023e+01
step=25 loss=1.296882e+01
step=30 loss=2.128561e+01
step=35 loss=8.431682e+00
step=40 loss=6.271914e+00
step=45 loss=6.924108e+00
step=50 loss=4.173257e+00
step=55 loss=6.046194e-01
step=60 loss=1.777119e+00
step=65 loss=1.731639e+00
step=70 loss=5.701629e-01
step=75 loss=1.273697e+00
step=80 loss=1.785915e+00
step=85 loss=1.380566e+00
step=90 loss=1.092470e+00
step=95 loss=1.521062e+00
Training and evaluating model with k=100
step=0 loss=2.976879e+02
step=5 loss=9.936922e+01
step=10 loss=8.003477e+01
step=15 loss=3.155448e+01
step=20 loss=2.627113e+01
step=25 loss=1.925946e+01
step=30 loss=9.166912e+00
step=35 loss=8.169279e+00
step=40 loss=4.238779e+00
step=45 loss=5.526865e+00
step=50 loss=4.539372e+00
step=55 loss=5.254718e-01
step=60 loss=2.126080e+00
step=65 loss=2.465659e+00
step=70 loss=4.826709e-01
step=75 loss=1.800238e+00
step=80 loss=1.764910e+00
step=85 loss=1.218496e+00
step=90 loss=1.502841e+00
step=95 loss=1.434702e+00
Starting fold 3
Training and evaluating model with k=10
step=0 loss=7.194658e+03
step=5 loss=4.320794e+03
step=10 loss=2.347295e+03
step=15 loss=2.323075e+03
step=20 loss=1.842483e+03
step=25 loss=1.265601e+03
step=30 loss=9.834522e+02
step=35 loss=9.725527e+02
step=40 loss=9.142487e+02
step=45 loss=6.996017e+02
step=50 loss=1.054550e+03
step=55 loss=2.138770e+02
step=60 loss=3.913527e+02
step=65 loss=4.558052e+02
step=70 loss=1.899245e+02
step=75 loss=4.657212e+02
step=80 loss=3.328586e+02
step=85 loss=2.326661e+02
step=90 loss=3.160575e+02
step=95 loss=2.919893e+02
Training and evaluating model with k=15
step=0 loss=2.611034e+03
step=5 loss=4.608715e+02
step=10 loss=3.983170e+02
step=15 loss=1.176851e+02
step=20 loss=2.728642e+02
step=25 loss=1.456465e+02
step=30 loss=1.356384e+02
step=35 loss=8.080279e+01
step=40 loss=1.614972e+02
step=45 loss=1.323469e+02
step=50 loss=9.676002e+01
step=55 loss=1.564502e+01
step=60 loss=6.221876e+01
step=65 loss=5.686813e+01
step=70 loss=1.972325e+01
step=75 loss=2.696841e+01
step=80 loss=3.940847e+01
step=85 loss=4.641056e+01
step=90 loss=3.635927e+01
step=95 loss=2.896694e+01
Training and evaluating model with k=20
step=0 loss=2.542152e+03
step=5 loss=1.031722e+03
step=10 loss=2.003579e+02
step=15 loss=8.001491e+01
step=20 loss=1.497004e+02
step=25 loss=8.848460e+01
step=30 loss=5.700986e+01
step=35 loss=7.528373e+01
step=40 loss=6.572492e+01
step=45 loss=4.331368e+01
step=50 loss=4.582558e+01
step=55 loss=1.045695e+01
step=60 loss=4.463295e+01
step=65 loss=3.670676e+01
step=70 loss=9.190973e+00
step=75 loss=1.855480e+01
step=80 loss=1.966136e+01
step=85 loss=1.734569e+01
step=90 loss=1.848971e+01
step=95 loss=1.203848e+01
Training and evaluating model with k=25
step=0 loss=6.403727e+03
step=5 loss=3.254127e+03
step=10 loss=1.812258e+03
step=15 loss=1.106696e+03
step=20 loss=6.405628e+02
step=25 loss=3.340039e+02
step=30 loss=3.196277e+02
step=35 loss=2.090870e+02
step=40 loss=1.926821e+02
step=45 loss=1.878916e+02
step=50 loss=1.401792e+02
step=55 loss=2.880266e+01
step=60 loss=8.155814e+01
step=65 loss=1.059646e+02
step=70 loss=1.883376e+01
step=75 loss=6.372866e+01
step=80 loss=7.178033e+01
step=85 loss=7.857064e+01
step=90 loss=3.140483e+01
step=95 loss=3.345994e+01
Training and evaluating model with k=30
step=0 loss=2.242269e+03
step=5 loss=8.144340e+02
step=10 loss=4.132828e+02
step=15 loss=3.318617e+02
step=20 loss=1.724618e+02
step=25 loss=1.175441e+02
step=30 loss=1.240991e+02
step=35 loss=9.976376e+01
step=40 loss=8.068354e+01
step=45 loss=8.010145e+01
step=50 loss=4.782454e+01
step=55 loss=9.647360e+00
step=60 loss=2.535709e+01
step=65 loss=4.890584e+01
step=70 loss=1.118899e+01
step=75 loss=1.859444e+01
step=80 loss=1.479945e+01
step=85 loss=1.768358e+01
step=90 loss=9.865783e+00
step=95 loss=1.153020e+01
Training and evaluating model with k=35
step=0 loss=2.709716e+03
step=5 loss=9.983436e+02
step=10 loss=4.879588e+02
step=15 loss=4.134419e+02
step=20 loss=1.601142e+02
step=25 loss=1.175492e+02
step=30 loss=8.411779e+01
step=35 loss=8.361035e+01
step=40 loss=7.094873e+01
step=45 loss=7.171822e+01
step=50 loss=4.230330e+01
step=55 loss=7.850368e+00
step=60 loss=1.827390e+01
step=65 loss=2.470377e+01
step=70 loss=1.359990e+01
step=75 loss=1.411147e+01
step=80 loss=2.558104e+01
step=85 loss=1.538394e+01
step=90 loss=1.813067e+01
step=95 loss=1.293088e+01
Training and evaluating model with k=40
step=0 loss=1.508111e+03
step=5 loss=6.494688e+02
step=10 loss=3.449788e+02
step=15 loss=1.933660e+02
